ID,class,gender,race,GPA,Algebra,Calculus1,Calculus2,Statistics,Probability,Measure,Functional_analysis,from1,from2,from3,from4,y
1214,A,female,1,84.11,79,48,85,92,85,88,84,X,A,A,0,2
1215,A,female,1,87.26,80,78,87,92,95,92,94,E,A,A,0,1
1216,A,female,1,91.9,95,86,96,92,95,90,95,Z,B,A,2,1
1217,A,female,1,87.77,91,68,87,92,92,90,77,V,A,A,0,1
1218,A,female,1,84.68,73,73,94,92,92,81,74,X,A,A,2,1
1219,A,male,1,63.49,81,61,17,92,88,69,9,T,B,D,2,0
1220,A,female,3,89.95,87,87,92,92,90,92,84,P,B,A,2,1
1221,A,female,1,85.18,75,70,73,92,84,76,88,X,A,A,2,0
1222,B,female,6,85.84,82,77,86,92,90,80,86,X,B,D,0,2
1223,B,male,1,84.18,84,67,94,92,82,83,85,U,B,A,0,1
1224,A,female,1,85,76,75,83,93,85,75,89,W,A,A,0,2
1225,A,female,1,90.62,94,81,90,93,91,86,94,S,A,A,0,1
1226,B,female,1,87.12,92,73,87,94,94,96,89,U,B,A,2,0
1227,A,female,1,84.63,83,87,88,94,79,87,76,X,B,A,0,0
1228,A,female,1,88.62,95,65,97,94,97,85,85,X,B,S,0,2
1229,A,female,1,87.87,84,86,94,94,94,95,80,E,B,S,0,1
1230,A,male,7,86.01,77,60,78,94,88,90,93,O,A,A,0,2
1231,A,male,1,89.46,87,92,81,95,89,92,86,E,B,A,0,2
1232,A,female,1,86.96,92,86,94,95,95,94,84,M,B,A,0,1
1233,A,male,1,86.87,82,77,85,95,94,90,80,N,B,A,0,0
1234,A,female,1,91.61,93,82,95,95,94,100,93,Y,B,S,0,1
1235,A,female,1,88.54,89,86,96,96,96,87,81,AA,B,A,0,0
1236,A,female,1,87.63,82,81,97,97,88,91,68,J,B,A,2,0
1237,A,male,2,91.74,94,100,96,97,95,94,93,C,B,S,0,2
1238,A,male,1,91.14,98,90,98,97,83,93,89,AA,B,A,0,1
1239,A,male,1,90.31,84,82,99,97,89,96,85,P,B,A,0,2
1240,B,male,1,88.1,87,70,95,97,91,93,82,AB,B,A,0,0
1241,A,female,1,88.34,87,83,92,98,93,86,90,M,B,A,0,1
1242,B,male,1,89.84,98,77,95,98,96,88,100,A,B,A,0,1
1243,B,male,1,88.82,83,80,91,98,93,95,71,T,B,A,0,2
1244,A,male,1,86.6,92,82,91,99,94,82,78,S,B,A,0,2
1245,A,male,1,93.71,93,97,99,100,97,90,90,K,B,A,0,2
