name,gender,birth_date,country,discipline,function,event,url
JULIEN Claude,Male,1960-04-23,Canada,Ice Hockey,Head Coach,Men,../../../en/results/ice-hockey/athlete-profile-n1051889-claude-julien.htm
KJELL Viktor,Male,1985-06-13,Canada,Curling,Coach,Women,../../../en/results/curling/athlete-profile-n1054871-viktor-kjell.htm
KOKSLIEN Mikko,Male,1985-03-10,Norway,Curling,Coach,,../../../en/results/curling/athlete-profile-n1032410-mikko-kokslien.htm
KOZYREV Aleksandr,Male,1986-08-26,ROC,Curling,Coach,Men,../../../en/results/curling/athlete-profile-n1036561-aleksandr-kozyrev.htm
KRAUPP Sebastian,Male,1985-05-20,Sweden,Curling,Coach,Mixed Doubles,../../../en/results/curling/athlete-profile-n1035403-sebastian-kraupp.htm
LIND J.D.,Male,1985-02-19,Japan,Curling,Coach,Women,../../../en/results/curling/athlete-profile-n1042406-j-d-lind.htm
LINDBERG Fredrik,Male,1986-02-02,Sweden,Curling,Coach,Men,../../../en/results/curling/athlete-profile-n1035402-fredrik-lindberg.htm
LINDHOLM Peja,Male,1970-06-02,People's Republic of China,Curling,Coach,Men,../../../en/results/curling/athlete-profile-n1059198-peja-lindholm.htm
LINDHOLM Peja,Male,1970-06-02,People's Republic of China,Curling,Coach,Women,../../../en/results/curling/athlete-profile-n1059198-peja-lindholm.htm
LINDSTROM Kristian,Male,1989-11-04,Great Britain,Curling,Coach,Women,../../../en/results/curling/athlete-profile-n1044172-kristian-lindstrom.htm
LOEVOLD Thomas,Male,1982-01-27,Norway,Curling,Coach,Men,../../../en/results/curling/athlete-profile-n1031416-thomas-loevold.htm
LOEVOLD Thomas,Male,1982-01-27,Norway,Curling,Coach,Mixed Doubles,../../../en/results/curling/athlete-profile-n1031416-thomas-loevold.htm
LUNDBERG Ulf,Male,1979-10-08,Sweden,Ice Hockey,Head Coach,Women,../../../en/results/ice-hockey/athlete-profile-n1042048-ulf-lundberg.htm
MANASANTIVONGS Pete,Male,1977-03-03,Australia,Curling,Coach,Mixed Doubles,../../../en/results/curling/athlete-profile-n1051083-pete-manasantivongs.htm
MARIANI Marco,Male,1968-06-14,People's Republic of China,Curling,Coach,Women,../../../en/results/curling/athlete-profile-n1059200-marco-mariani.htm
MIDDAUGH Wayne,Male,1967-09-20,Sweden,Curling,Coach,Women,../../../en/results/curling/athlete-profile-n1035401-wayne-middaugh.htm
MULLER Colin,Male,1963-12-01,Switzerland,Ice Hockey,Head Coach,Women,../../../en/results/ice-hockey/athlete-profile-n1050727-colin-muller.htm
ONODERA Ryoji,Male,1960-12-13,Japan,Curling,Coach,Women,../../../en/results/curling/athlete-profile-n1042411-ryoji-onodera.htm
OWCHAR Jules,Male,1944-10-12,Canada,Curling,Coach,Men,../../../en/results/curling/athlete-profile-n1054855-jules-owchar.htm
PACINA Tomas,Male,1968-07-12,Czech Republic,Ice Hockey,Head Coach,Women,../../../en/results/ice-hockey/athlete-profile-n1055767-tomas-pacina.htm
PESAN Filip,Male,1978-01-04,Czech Republic,Ice Hockey,Head Coach,Men,../../../en/results/ice-hockey/athlete-profile-n1055763-filip-pesan.htm
PESCIA Claudio,Male,1963-11-17,Italy,Curling,Coach,Men,../../../en/results/curling/athlete-profile-n1037354-claudio-pescia.htm
PESCIA Claudio,Male,1963-11-17,Italy,Curling,Coach,Mixed Doubles,../../../en/results/curling/athlete-profile-n1037354-claudio-pescia.htm
PETER Rico,Male,1983-09-13,Switzerland,Curling,Coach,,../../../en/results/curling/athlete-profile-n1050737-rico-peter.htm
PETERS Laine,Female,1970-03-24,United States of America,Curling,Coach,Women,../../../en/results/curling/athlete-profile-n1034654-laine-peters.htm
PETERSSON Haavard,Male,1984-01-05,Switzerland,Curling,Coach,Men,../../../en/results/curling/athlete-profile-n1050738-haavard-petersson.htm
PFEIFER Scott,Male,1977-01-05,Canada,Curling,Coach,Mixed Doubles,../../../en/results/curling/athlete-profile-n1054868-scott-pfeifer.htm
QUINN David,Male,1966-07-30,United States of America,Ice Hockey,Head Coach,Men,../../../en/results/ice-hockey/athlete-profile-n1045979-david-quinn.htm
RAKKOLAINEN Emmi,Female,1996-09-08,Finland,Ice Hockey,Head Coach,,../../../en/results/ice-hockey/athlete-profile-n1025203-emmi-rakkolainen.htm
RAMSAY Craig,Male,1951-03-17,Slovakia,Ice Hockey,Head Coach,Men,../../../en/results/ice-hockey/athlete-profile-n1044467-craig-ramsay.htm
RAMSEIDL Petr,Male,1964-08-20,Switzerland,Curling,Coach,,../../../en/results/curling/athlete-profile-n1050749-petr-ramseidl.htm
RANTAMAKI Tomi,Male,1968-09-18,People's Republic of China,Curling,Coach,Mixed Doubles,../../../en/results/curling/athlete-profile-n1059201-tomi-rantamaki.htm
ROGERS Heather,Female,1991-12-31,Denmark,Ice Hockey,Head Coach,,../../../en/results/ice-hockey/athlete-profile-n1032257-heather-rogers.htm
ROGERS Heather,Female,1991-12-31,Denmark,Curling,Coach,Men,../../../en/results/curling/athlete-profile-n1032257-heather-rogers.htm
ROGERS Heather,Female,1991-12-31,Denmark,Curling,Coach,Women,../../../en/results/curling/athlete-profile-n1032257-heather-rogers.htm
RYAN Troy,Male,1972-01-26,Canada,Ice Hockey,Head Coach,Women,../../../en/results/ice-hockey/athlete-profile-n1036317-troy-ryan.htm
SANKTJOHANSER Leonhard,Male,1973-01-11,Switzerland,Curling,Coach,,../../../en/results/curling/athlete-profile-n1050761-leonhard-sanktjohanser.htm
SCHNEIDER Theodor,Male,1968-01-01,Switzerland,Curling,Coach,,../../../en/results/curling/athlete-profile-n1050766-theodor-schneider.htm
SHARPLES Pat,Male,1976-04-19,Great Britain,Curling,Coach,,../../../en/results/curling/athlete-profile-n1045750-pat-sharples.htm
SKOOG Carina,Female,1965-12-27,Sweden,Curling,Coach,,../../../en/results/curling/athlete-profile-n1054555-carina-skoog.htm
SODERHOLM Toni,Male,1978-04-14,Germany,Ice Hockey,Head Coach,Men,../../../en/results/ice-hockey/athlete-profile-n1001267-toni-soderholm.htm
STERN Walter,Male,1972-02-06,Switzerland,Curling,Coach,,../../../en/results/curling/athlete-profile-n1050775-walter-stern.htm
TOIVOLA Juuso,Male,1971-03-17,Finland,Ice Hockey,Head Coach,Women,../../../en/results/ice-hockey/athlete-profile-n1035660-juuso-toivola.htm
VILANDT Lars,Male,1974-08-22,Denmark,Curling,Coach,,../../../en/results/curling/athlete-profile-n1055836-lars-vilandt.htm
VITOLINS Harijs,Male,1968-04-30,Latvia,Ice Hockey,Head Coach,Men,../../../en/results/ice-hockey/athlete-profile-n1037310-harijs-vitolins.htm
WAIBEL Karlheinz,Male,1966-10-16,Germany,Curling,Coach,,../../../en/results/curling/athlete-profile-n1014630-karlheinz-waibel.htm
WIGGERUD Anders,Male,1970-03-28,Sweden,Curling,Coach,,../../../en/results/curling/athlete-profile-n1054554-anders-wiggerud.htm
WOOLLEY Christopher,Male,1982-09-26,Switzerland,Curling,Coach,,../../../en/results/curling/athlete-profile-n1050815-christopher-woolley.htm
ZANATTA Ivano,Male,1960-08-03,People's Republic of China,Ice Hockey,Head Coach,Men,../../../en/results/ice-hockey/athlete-profile-n1057930-ivano-zanatta.htm
ZHAMNOV Alexei,Male,1970-10-01,ROC,Ice Hockey,Head Coach,Men,../../../en/results/ice-hockey/athlete-profile-n1056521-alexei-zhamnov.htm
