location,event_stage,event_status,time,event_url,discipline_code,discipline
Yanqing National Sliding Centre,Women's Monobob Official Training Heat 6,Finished,2022-02-12T11:05:00+08:00,../../../en/results/bobsleigh/results-women-s-monobob-trno-000600-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-man Official Training Heat 5,Finished,2022-02-12T12:40:00+08:00,../../../en/results/bobsleigh/results-2-man-trno-000500-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-man Official Training Heat 6,Finished,2022-02-12T13:55:00+08:00,../../../en/results/bobsleigh/results-2-man-trno-000600-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,Women's Monobob Heat 1,Finished,2022-02-13T09:30:00+08:00,../../../en/results/bobsleigh/results-women-s-monobob-fnl-000100-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,Women's Monobob Heat 2,Finished,2022-02-13T11:00:00+08:00,../../../en/results/bobsleigh/results-women-s-monobob-fnl-000200-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,Women's Monobob Heat 3,Finished,2022-02-14T09:30:00+08:00,../../../en/results/bobsleigh/results-women-s-monobob-fnl-000300-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,Women's Monobob Heat 4,Finished,2022-02-14T11:00:00+08:00,../../../en/results/bobsleigh/results-women-s-monobob-fnl-000400-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-man Heat 1,Finished,2022-02-14T20:05:00+08:00,../../../en/results/bobsleigh/results-2-man-fnl-000100-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-man Heat 2,Finished,2022-02-14T21:40:00+08:00,../../../en/results/bobsleigh/results-2-man-fnl-000200-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-woman Official Training Heat 1,Finished,2022-02-15T14:10:00+08:00,../../../en/results/bobsleigh/results-2-woman-trno-000100-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-woman Official Training Heat 2,Finished,,../../../en/results/bobsleigh/results-2-woman-trno-000200-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-man Heat 3,Finished,2022-02-15T20:15:00+08:00,../../../en/results/bobsleigh/results-2-man-fnl-000300-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-man Heat 4,Finished,2022-02-15T21:50:00+08:00,../../../en/results/bobsleigh/results-2-man-fnl-000400-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,4-man Official Training Heat 1,Finished,2022-02-16T09:40:00+08:00,../../../en/results/bobsleigh/results-4-man-trno-000100-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,4-man Official Training Heat 2,Finished,,../../../en/results/bobsleigh/results-4-man-trno-000200-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-woman Official Training Heat 3,Finished,2022-02-16T14:10:00+08:00,../../../en/results/bobsleigh/results-2-woman-trno-000300-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-woman Official Training Heat 4,Finished,,../../../en/results/bobsleigh/results-2-woman-trno-000400-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,4-man Official Training Heat 3,Finished,2022-02-17T09:42:00+08:00,../../../en/results/bobsleigh/results-4-man-trno-000300-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,4-man Official Training Heat 4,Finished,,../../../en/results/bobsleigh/results-4-man-trno-000400-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-woman Official Training Heat 5,Finished,2022-02-17T14:10:00+08:00,../../../en/results/bobsleigh/results-2-woman-trno-000500-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-woman Official Training Heat 6,Finished,,../../../en/results/bobsleigh/results-2-woman-trno-000600-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,4-man Official Training Heat 5,Finished,2022-02-18T09:42:00+08:00,../../../en/results/bobsleigh/results-4-man-trno-000500-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,4-man Official Training Heat 6,Finished,,../../../en/results/bobsleigh/results-4-man-trno-000600-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-woman Heat 1,Finished,2022-02-18T20:00:00+08:00,../../../en/results/bobsleigh/results-2-woman-fnl-000100-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-woman Heat 2,Finished,2022-02-18T21:30:00+08:00,../../../en/results/bobsleigh/results-2-woman-fnl-000200-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,4-man Heat 1,Finished,2022-02-19T09:30:00+08:00,../../../en/results/bobsleigh/results-4-man-fnl-000100-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,4-man Heat 2,Finished,2022-02-19T11:05:00+08:00,../../../en/results/bobsleigh/results-4-man-fnl-000200-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-woman Heat 3,Finished,2022-02-19T20:00:00+08:00,../../../en/results/bobsleigh/results-2-woman-fnl-000300-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,2-woman Heat 4,Finished,2022-02-19T21:30:00+08:00,../../../en/results/bobsleigh/results-2-woman-fnl-000400-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,4-man Heat 3,Finished,2022-02-20T09:30:00+08:00,../../../en/results/bobsleigh/results-4-man-fnl-000300-.htm,BOB,Bobsleigh
Yanqing National Sliding Centre,4-man Heat 4,Finished,2022-02-20T11:20:00+08:00,../../../en/results/bobsleigh/results-4-man-fnl-000400-.htm,BOB,Bobsleigh
Zhangjiakou National Cross-Country Skiing Centre,Women's 7.5km + 7.5km Skiathlon,Finished,2022-02-05T15:45:00+08:00,../../../en/results/cross-country-skiing/results-women-s-7-5km-plus-7-5km-skiathlon-fnl-000100-.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Men's 15km + 15km Skiathlon,Finished,2022-02-06T15:00:00+08:00,../../../en/results/cross-country-skiing/results-men-s-15km-plus-15km-skiathlon-fnl-000100-.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Women's Sprint Free Qualification,Finished,2022-02-08T16:00:00+08:00,../../../en/results/cross-country-skiing/results-women-s-sprint-free-qual-000100-.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Men's Sprint Free Qualification,Finished,2022-02-08T16:45:00+08:00,../../../en/results/cross-country-skiing/results-men-s-sprint-free-qual-000100-.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Women's Sprint Free Quarterfinals,Finished,2022-02-08T18:30:00+08:00,../../../en/results/cross-country-skiing/results-women-s-sprint-free-qfnl.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Men's Sprint Free Quarterfinals,Finished,2022-02-08T19:02:30+08:00,../../../en/results/cross-country-skiing/results-men-s-sprint-free-qfnl.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Women's Sprint Free Semifinals,Finished,2022-02-08T19:32:30+08:00,../../../en/results/cross-country-skiing/results-women-s-sprint-free-sfnl.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Men's Sprint Free Semifinals,Finished,2022-02-08T19:45:30+08:00,../../../en/results/cross-country-skiing/results-men-s-sprint-free-sfnl.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Women's Sprint Free Final,Finished,2022-02-08T19:59:00+08:00,../../../en/results/cross-country-skiing/results-women-s-sprint-free-fnl-000100-.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Men's Sprint Free Final,Finished,2022-02-08T20:11:30+08:00,../../../en/results/cross-country-skiing/results-men-s-sprint-free-fnl-000100-.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Women's 10km Classic,Finished,2022-02-10T15:00:00+08:00,../../../en/results/cross-country-skiing/results-women-s-10km-classic-fnl-000100-.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Men's 15km Classic,Finished,2022-02-11T15:00:00+08:00,../../../en/results/cross-country-skiing/results-men-s-15km-classic-fnl-000100-.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Women's 4 x 5km Relay,Finished,2022-02-12T15:30:00+08:00,../../../en/results/cross-country-skiing/results-women-s-4-x-5km-relay-fnl-000100-.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Men's 4 x 10km Relay,Finished,2022-02-13T15:00:00+08:00,../../../en/results/cross-country-skiing/results-men-s-4-x-10km-relay-fnl-000100-.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Women's Team Sprint Classic Semifinals,Finished,2022-02-16T15:15:00+08:00,../../../en/results/cross-country-skiing/results-women-s-team-sprint-classic-sfnl.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Men's Team Sprint Classic Semifinals,Finished,2022-02-16T16:15:00+08:00,../../../en/results/cross-country-skiing/results-men-s-team-sprint-classic-sfnl.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Women's Team Sprint Classic Final,Finished,2022-02-16T17:15:00+08:00,../../../en/results/cross-country-skiing/results-women-s-team-sprint-classic-fnl-000100-.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Men's Team Sprint Classic Final,Finished,2022-02-16T17:45:00+08:00,../../../en/results/cross-country-skiing/results-men-s-team-sprint-classic-fnl-000100-.htm,CCS,Cross-Country Skiing
Zhangjiakou National Cross-Country Skiing Centre,Women's 30km Mass Start Free,Finished,2022-02-20T11:00:00+08:00,../../../en/results/cross-country-skiing/results-women-s-30km-mass-start-free-fnl-000100-.htm,CCS,Cross-Country Skiing
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 1,Finished,2022-02-02T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000101-.htm,CUR,Curling
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 1,Finished,2022-02-02T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000102-.htm,CUR,Curling
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 1,Finished,2022-02-02T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000103-.htm,CUR,Curling
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 1,Finished,2022-02-02T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000104-.htm,CUR,Curling
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 2,Finished,2022-02-03T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000201-.htm,CUR,Curling
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 2,Finished,2022-02-03T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000202-.htm,CUR,Curling
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 2,Finished,2022-02-03T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000203-.htm,CUR,Curling
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 2,Finished,2022-02-03T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000204-.htm,CUR,Curling
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 3,Finished,2022-02-03T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000301-.htm,CUR,Curling
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 3,Finished,2022-02-03T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000302-.htm,CUR,Curling
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 4,Finished,2022-02-03T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000401-.htm,CUR,Curling
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 4,Finished,2022-02-03T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000402-.htm,CUR,Curling
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 4,Finished,2022-02-03T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000403-.htm,CUR,Curling
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 4,Finished,2022-02-03T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000404-.htm,CUR,Curling
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 5,Finished,2022-02-04T08:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000502-.htm,CUR,Curling
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 5,Finished,2022-02-04T08:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000503-.htm,CUR,Curling
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 5,Finished,2022-02-04T08:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000504-.htm,CUR,Curling
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 6,Finished,2022-02-04T13:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000601-.htm,CUR,Curling
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 6,Finished,2022-02-04T13:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000602-.htm,CUR,Curling
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 6,Finished,2022-02-04T13:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000603-.htm,CUR,Curling
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 6,Finished,2022-02-04T13:35:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000604-.htm,CUR,Curling
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 7,Finished,2022-02-05T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000703-.htm,CUR,Curling
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 7,Finished,2022-02-05T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000704-.htm,CUR,Curling
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 8,Finished,2022-02-05T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000801-.htm,CUR,Curling
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 8,Finished,2022-02-05T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000802-.htm,CUR,Curling
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 8,Finished,2022-02-05T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000803-.htm,CUR,Curling
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 8,Finished,2022-02-05T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000804-.htm,CUR,Curling
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 9,Finished,2022-02-05T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000901-.htm,CUR,Curling
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 9,Finished,2022-02-05T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000902-.htm,CUR,Curling
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 9,Finished,2022-02-05T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000903-.htm,CUR,Curling
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 9,Finished,2022-02-05T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-000904-.htm,CUR,Curling
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 10,Finished,2022-02-06T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001001-.htm,CUR,Curling
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 10,Finished,2022-02-06T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001002-.htm,CUR,Curling
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 11,Finished,2022-02-06T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001101-.htm,CUR,Curling
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 11,Finished,2022-02-06T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001102-.htm,CUR,Curling
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 11,Finished,2022-02-06T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001103-.htm,CUR,Curling
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 11,Finished,2022-02-06T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001104-.htm,CUR,Curling
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 12,Finished,2022-02-06T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001201-.htm,CUR,Curling
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 12,Finished,2022-02-06T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001202-.htm,CUR,Curling
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 12,Finished,2022-02-06T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001203-.htm,CUR,Curling
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 12,Finished,2022-02-06T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001204-.htm,CUR,Curling
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 13,Finished,2022-02-07T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001301-.htm,CUR,Curling
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 13,Finished,2022-02-07T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001302-.htm,CUR,Curling
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 13,Finished,2022-02-07T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001303-.htm,CUR,Curling
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 13,Finished,2022-02-07T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001304-.htm,CUR,Curling
National Aquatics Centre - Sheet A,Mixed Doubles Semi-final,Finished,2022-02-07T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-sfnl-000102-.htm,CUR,Curling
