medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,event,country,country_code,discipline,discipline_code
Bronze,3,2022-02-05 00:00:00.0,WEIDEMANN I,WEIDEMANN Isabelle,W,../../../en/results/speed-skating/athlete-profile-n1038481-isabelle-weidemann.htm,Women's 3000m,Canada,CAN,Speed Skating,SSK
Gold,1,2022-02-06 00:00:00.0,BOLSHUNOV A,BOLSHUNOV Alexander,M,../../../en/results/cross-country-skiing/athlete-profile-n1036630-alexander-bolshunov.htm,Men's 15km + 15km Skiathlon,ROC,ROC,Cross-Country Skiing,CCS
Silver,2,2022-02-06 00:00:00.0,SPITSOV D,SPITSOV Denis,M,../../../en/results/cross-country-skiing/athlete-profile-n1036641-denis-spitsov.htm,Men's 15km + 15km Skiathlon,ROC,ROC,Cross-Country Skiing,CCS
Bronze,3,2022-02-06 00:00:00.0,NISKANEN I,NISKANEN Iivo,M,../../../en/results/cross-country-skiing/athlete-profile-n1035599-iivo-niskanen.htm,Men's 15km + 15km Skiathlon,Finland,FIN,Cross-Country Skiing,CCS
Gold,1,2022-02-06 00:00:00.0,ANTHONY J,ANTHONY Jakara,W,../../../en/results/freestyle-skiing/athlete-profile-n1046159-jakara-anthony.htm,Women's Moguls,Australia,AUS,Freestyle Skiing,FRS
Silver,2,2022-02-06 00:00:00.0,KAUF J,KAUF Jaelin,W,../../../en/results/freestyle-skiing/athlete-profile-n1044722-jaelin-kauf.htm,Women's Moguls,United States of America,USA,Freestyle Skiing,FRS
Bronze,3,2022-02-06 00:00:00.0,SMIRNOVA A,SMIRNOVA Anastasiia,W,../../../en/results/freestyle-skiing/athlete-profile-n1041110-anastasiia-smirnova.htm,Women's Moguls,ROC,ROC,Freestyle Skiing,FRS
Gold,1,2022-02-06 00:00:00.0,LUDWIG J,LUDWIG Johannes,M,../../../en/results/luge/athlete-profile-n1014530-johannes-ludwig.htm,Men's Singles,Germany,GER,Luge,LUG
Silver,2,2022-02-06 00:00:00.0,KINDL W,KINDL Wolfgang,M,../../../en/results/luge/athlete-profile-n1004367-wolfgang-kindl.htm,Men's Singles,Austria,AUT,Luge,LUG
Bronze,3,2022-02-06 00:00:00.0,FISCHNALLER D,FISCHNALLER Dominik,M,../../../en/results/luge/athlete-profile-n1015388-dominik-fischnaller.htm,Men's Singles,Italy,ITA,Luge,LUG
Gold,1,2022-02-06 00:00:00.0,KOBAYASHI R,KOBAYASHI Ryoyu,M,../../../en/results/ski-jumping/athlete-profile-n1037831-ryoyu-kobayashi.htm,Men's Normal Hill Individual,Japan,JPN,Ski Jumping,SJP
Silver,2,2022-02-06 00:00:00.0,FETTNER M,FETTNER Manuel,M,../../../en/results/ski-jumping/athlete-profile-n1005776-manuel-fettner.htm,Men's Normal Hill Individual,Austria,AUT,Ski Jumping,SJP
Bronze,3,2022-02-06 00:00:00.0,KUBACKI D,KUBACKI Dawid,M,../../../en/results/ski-jumping/athlete-profile-n1032014-dawid-kubacki.htm,Men's Normal Hill Individual,Poland,POL,Ski Jumping,SJP
Gold,1,2022-02-06 00:00:00.0,SADOWSKI SYNNOTT Z,SADOWSKI SYNNOTT Zoi,W,../../../en/results/snowboard/athlete-profile-n1055087-zoi-sadowski-synnott.htm,Women's Snowboard Slopestyle,New Zealand,NZL,Snowboard,SBD
Silver,2,2022-02-06 00:00:00.0,MARINO J,MARINO Julia,W,../../../en/results/snowboard/athlete-profile-n1044820-julia-marino.htm,Women's Snowboard Slopestyle,United States of America,USA,Snowboard,SBD
Bronze,3,2022-02-06 00:00:00.0,COADY T,COADY Tess,W,../../../en/results/snowboard/athlete-profile-n1046177-tess-coady.htm,Women's Snowboard Slopestyle,Australia,AUS,Snowboard,SBD
Gold,1,2022-02-06 00:00:00.0,van der POEL N,van der POEL Nils,M,../../../en/results/speed-skating/athlete-profile-n1044123-nils-van-der-poel.htm,Men's 5000m,Sweden,SWE,Speed Skating,SSK
Silver,2,2022-02-06 00:00:00.0,ROEST P,ROEST Patrick,M,../../../en/results/speed-skating/athlete-profile-n1054309-patrick-roest.htm,Men's 5000m,Netherlands,NED,Speed Skating,SSK
Bronze,3,2022-02-06 00:00:00.0,ENGEBRAATEN H,ENGEBRAATEN Hallgeir,M,../../../en/results/speed-skating/athlete-profile-n1032353-hallgeir-engebraaten.htm,Men's 5000m,Norway,NOR,Speed Skating,SSK
Gold,1,2022-02-07 00:00:00.0,FEUZ B,FEUZ Beat,M,../../../en/results/alpine-skiing/athlete-profile-n1048352-beat-feuz.htm,Men's Downhill,Switzerland,SUI,Alpine Skiing,ALP
Silver,2,2022-02-07 00:00:00.0,CLAREY J,CLAREY Johan,M,../../../en/results/alpine-skiing/athlete-profile-n1035757-johan-clarey.htm,Men's Downhill,France,FRA,Alpine Skiing,ALP
Bronze,3,2022-02-07 00:00:00.0,MAYER M,MAYER Matthias,M,../../../en/results/alpine-skiing/athlete-profile-n1005388-matthias-mayer.htm,Men's Downhill,Austria,AUT,Alpine Skiing,ALP
Gold,1,2022-02-07 00:00:00.0,HECTOR S,HECTOR Sara,W,../../../en/results/alpine-skiing/athlete-profile-n1054355-sara-hector.htm,Women's Giant Slalom,Sweden,SWE,Alpine Skiing,ALP
Silver,2,2022-02-07 00:00:00.0,BRIGNONE F,BRIGNONE Federica,W,../../../en/results/alpine-skiing/athlete-profile-n1015230-federica-brignone.htm,Women's Giant Slalom,Italy,ITA,Alpine Skiing,ALP
Bronze,3,2022-02-07 00:00:00.0,GUT-BEHRAMI L,GUT-BEHRAMI Lara,W,../../../en/results/alpine-skiing/athlete-profile-n1048401-lara-gut-behrami.htm,Women's Giant Slalom,Switzerland,SUI,Alpine Skiing,ALP
Gold,1,2022-02-07 00:00:00.0,HERRMANN D,HERRMANN Denise,W,../../../en/results/biathlon/athlete-profile-n1012685-denise-herrmann.htm,Women's 15km Individual,Germany,GER,Biathlon,BTH
Silver,2,2022-02-07 00:00:00.0,CHEVALIER-BOUCHET,CHEVALIER-BOUCHET Anais,W,../../../en/results/biathlon/athlete-profile-n1035786-anais-chevalier-bouchet.htm,Women's 15km Individual,France,FRA,Biathlon,BTH
Bronze,3,2022-02-07 00:00:00.0,ROEISELAND MO,ROEISELAND Marte Olsbu,W,../../../en/results/biathlon/athlete-profile-n1031950-marte-olsbu-roeiseland.htm,Women's 15km Individual,Norway,NOR,Biathlon,BTH
Gold,1,2022-02-07 00:00:00.0,MISHINA A,MISHINA Anastasia,X,../../../en/results/figure-skating/athlete-profile-n1057086-anastasia-mishina.htm,Team Event,ROC,ROC,Figure Skating,FSK
Gold,1,2022-02-07 00:00:00.0,GALLIAMOV A,GALLIAMOV Aleksandr,X,../../../en/results/figure-skating/athlete-profile-n1057087-aleksandr-galliamov.htm,Team Event,ROC,ROC,Figure Skating,FSK
Gold,1,2022-02-07 00:00:00.0,KONDRATIUK M,KONDRATIUK Mark,X,../../../en/results/figure-skating/athlete-profile-n1057104-mark-kondratiuk.htm,Team Event,ROC,ROC,Figure Skating,FSK
Gold,1,2022-02-07 00:00:00.0,VALIEVA K,VALIEVA Kamila,X,../../../en/results/figure-skating/athlete-profile-n1057109-kamila-valieva.htm,Team Event,ROC,ROC,Figure Skating,FSK
Gold,1,2022-02-07 00:00:00.0,SINITSINA V,SINITSINA Victoria,X,../../../en/results/figure-skating/athlete-profile-n1057112-victoria-sinitsina.htm,Team Event,ROC,ROC,Figure Skating,FSK
Gold,1,2022-02-07 00:00:00.0,KATSALAPOV N,KATSALAPOV Nikita,X,../../../en/results/figure-skating/athlete-profile-n1057113-nikita-katsalapov.htm,Team Event,ROC,ROC,Figure Skating,FSK
Silver,2,2022-02-07 00:00:00.0,KNIERIM A,KNIERIM Alexa,X,../../../en/results/figure-skating/athlete-profile-n1035117-alexa-knierim.htm,Team Event,United States of America,USA,Figure Skating,FSK
Silver,2,2022-02-07 00:00:00.0,FRAZIER B,FRAZIER Brandon,X,../../../en/results/figure-skating/athlete-profile-n1035124-brandon-frazier.htm,Team Event,United States of America,USA,Figure Skating,FSK
Silver,2,2022-02-07 00:00:00.0,BATES E,BATES Evan,X,../../../en/results/figure-skating/athlete-profile-n1035132-evan-bates.htm,Team Event,United States of America,USA,Figure Skating,FSK
Silver,2,2022-02-07 00:00:00.0,CHEN K,CHEN Karen,X,../../../en/results/figure-skating/athlete-profile-n1035151-karen-chen.htm,Team Event,United States of America,USA,Figure Skating,FSK
Silver,2,2022-02-07 00:00:00.0,HUBBELL M,HUBBELL Madison,X,../../../en/results/figure-skating/athlete-profile-n1035161-madison-hubbell.htm,Team Event,United States of America,USA,Figure Skating,FSK
Silver,2,2022-02-07 00:00:00.0,CHEN N,CHEN Nathan,X,../../../en/results/figure-skating/athlete-profile-n1035167-nathan-chen.htm,Team Event,United States of America,USA,Figure Skating,FSK
Silver,2,2022-02-07 00:00:00.0,ZHOU V,ZHOU Vincent,X,../../../en/results/figure-skating/athlete-profile-n1035177-vincent-zhou.htm,Team Event,United States of America,USA,Figure Skating,FSK
Silver,2,2022-02-07 00:00:00.0,DONOHUE Z,DONOHUE Zachary,X,../../../en/results/figure-skating/athlete-profile-n1035180-zachary-donohue.htm,Team Event,United States of America,USA,Figure Skating,FSK
Silver,2,2022-02-07 00:00:00.0,CHOCK M,CHOCK Madison,X,../../../en/results/figure-skating/athlete-profile-n1035183-madison-chock.htm,Team Event,United States of America,USA,Figure Skating,FSK
Bronze,3,2022-02-07 00:00:00.0,KAGIYAMA Y,KAGIYAMA Yuma,X,../../../en/results/figure-skating/athlete-profile-n1038836-yuma-kagiyama.htm,Team Event,Japan,JPN,Figure Skating,FSK
Bronze,3,2022-02-07 00:00:00.0,HIGUCHI W,HIGUCHI Wakaba,X,../../../en/results/figure-skating/athlete-profile-n1038850-wakaba-higuchi.htm,Team Event,Japan,JPN,Figure Skating,FSK
Bronze,3,2022-02-07 00:00:00.0,KOMATSUBARA M,KOMATSUBARA Misato,X,../../../en/results/figure-skating/athlete-profile-n1038853-misato-komatsubara.htm,Team Event,Japan,JPN,Figure Skating,FSK
Bronze,3,2022-02-07 00:00:00.0,KOLETO T,KOLETO Tim,X,../../../en/results/figure-skating/athlete-profile-n1038854-tim-koleto.htm,Team Event,Japan,JPN,Figure Skating,FSK
Bronze,3,2022-02-07 00:00:00.0,MIURA R,MIURA Riku,X,../../../en/results/figure-skating/athlete-profile-n1038855-riku-miura.htm,Team Event,Japan,JPN,Figure Skating,FSK
Bronze,3,2022-02-07 00:00:00.0,KIHARA R,KIHARA Ryuichi,X,../../../en/results/figure-skating/athlete-profile-n1038856-ryuichi-kihara.htm,Team Event,Japan,JPN,Figure Skating,FSK
Bronze,3,2022-02-07 00:00:00.0,UNO S,UNO Shoma,X,../../../en/results/figure-skating/athlete-profile-n1038835-shoma-uno.htm,Team Event,Japan,JPN,Figure Skating,FSK
Bronze,3,2022-02-07 00:00:00.0,SAKAMOTO K,SAKAMOTO Kaori,X,../../../en/results/figure-skating/athlete-profile-n1045367-kaori-sakamoto.htm,Team Event,Japan,JPN,Figure Skating,FSK
Gold,1,2022-02-07 00:00:00.0,REN Z,REN Ziwei,M,../../../en/results/short-track-speed-skating/athlete-profile-n1057883-ziwei-ren.htm,Men's 1000m,People's Republic of China,CHN,Short Track Speed Skating,STK
Silver,2,2022-02-07 00:00:00.0,LI W,LI Wenlong,M,../../../en/results/short-track-speed-skating/athlete-profile-n1057897-wenlong-li.htm,Men's 1000m,People's Republic of China,CHN,Short Track Speed Skating,STK
Bronze,3,2022-02-07 00:00:00.0,LIU S,LIU Shaoang,M,../../../en/results/short-track-speed-skating/athlete-profile-n1044470-shaoang-liu.htm,Men's 1000m,Hungary,HUN,Short Track Speed Skating,STK
Gold,1,2022-02-07 00:00:00.0,FONTANA A,FONTANA Arianna,W,../../../en/results/short-track-speed-skating/athlete-profile-n1034964-arianna-fontana.htm,Women's 500m,Italy,ITA,Short Track Speed Skating,STK
Silver,2,2022-02-07 00:00:00.0,SCHULTING S,SCHULTING Suzanne,W,../../../en/results/short-track-speed-skating/athlete-profile-n1054312-suzanne-schulting.htm,Women's 500m,Netherlands,NED,Short Track Speed Skating,STK
Bronze,3,2022-02-07 00:00:00.0,BOUTIN K,BOUTIN Kim,W,../../../en/results/short-track-speed-skating/athlete-profile-n1038566-kim-boutin.htm,Women's 500m,Canada,CAN,Short Track Speed Skating,STK
Gold,1,2022-02-07 00:00:00.0,BOGATAJ U,BOGATAJ Ursa,X,../../../en/results/ski-jumping/athlete-profile-n1051176-ursa-bogataj.htm,Mixed Team,Slovenia,SLO,Ski Jumping,SJP
Gold,1,2022-02-07 00:00:00.0,PREVC P,PREVC Peter,X,../../../en/results/ski-jumping/athlete-profile-n1051163-peter-prevc.htm,Mixed Team,Slovenia,SLO,Ski Jumping,SJP
Gold,1,2022-02-07 00:00:00.0,ZAJC T,ZAJC Timi,X,../../../en/results/ski-jumping/athlete-profile-n1051173-timi-zajc.htm,Mixed Team,Slovenia,SLO,Ski Jumping,SJP
Gold,1,2022-02-07 00:00:00.0,KRIZNAR N,KRIZNAR Nika,X,../../../en/results/ski-jumping/athlete-profile-n1051161-nika-kriznar.htm,Mixed Team,Slovenia,SLO,Ski Jumping,SJP
Silver,2,2022-02-07 00:00:00.0,KLIMOV E,KLIMOV Evgeniy,X,../../../en/results/ski-jumping/athlete-profile-n1036681-evgeniy-klimov.htm,Mixed Team,ROC,ROC,Ski Jumping,SJP
Silver,2,2022-02-07 00:00:00.0,SADREEV D,SADREEV Danil,X,../../../en/results/ski-jumping/athlete-profile-n1036684-danil-sadreev.htm,Mixed Team,ROC,ROC,Ski Jumping,SJP
Silver,2,2022-02-07 00:00:00.0,AVVAKUMOVA I,AVVAKUMOVA Irina,X,../../../en/results/ski-jumping/athlete-profile-n1036689-irina-avvakumova.htm,Mixed Team,ROC,ROC,Ski Jumping,SJP
Silver,2,2022-02-07 00:00:00.0,MAKHINIA I,MAKHINIA Irma,X,../../../en/results/ski-jumping/athlete-profile-n1036691-irma-makhinia.htm,Mixed Team,ROC,ROC,Ski Jumping,SJP
Bronze,3,2022-02-07 00:00:00.0,BOYD-CLOWES M,BOYD-CLOWES Mackenzie,X,../../../en/results/ski-jumping/athlete-profile-n1038652-mackenzie-boyd-clowes.htm,Mixed Team,Canada,CAN,Ski Jumping,SJP
Bronze,3,2022-02-07 00:00:00.0,SOUKUP M,SOUKUP Matthew,X,../../../en/results/ski-jumping/athlete-profile-n1038653-matthew-soukup.htm,Mixed Team,Canada,CAN,Ski Jumping,SJP
Bronze,3,2022-02-07 00:00:00.0,STRATE A,STRATE Abigail,X,../../../en/results/ski-jumping/athlete-profile-n1038656-abigail-strate.htm,Mixed Team,Canada,CAN,Ski Jumping,SJP
Bronze,3,2022-02-07 00:00:00.0,LOUTITT A,LOUTITT Alexandria,X,../../../en/results/ski-jumping/athlete-profile-n1038657-alexandria-loutitt.htm,Mixed Team,Canada,CAN,Ski Jumping,SJP
Gold,1,2022-02-07 00:00:00.0,PARROT M,PARROT Max,M,../../../en/results/snowboard/athlete-profile-n1045864-max-parrot.htm,Men's Snowboard Slopestyle,Canada,CAN,Snowboard,SBD
Silver,2,2022-02-07 00:00:00.0,SU Y,SU Yiming,M,../../../en/results/snowboard/athlete-profile-n1057686-yiming-su.htm,Men's Snowboard Slopestyle,People's Republic of China,CHN,Snowboard,SBD
Bronze,3,2022-02-07 00:00:00.0,McMORRIS M,McMORRIS Mark,M,../../../en/results/snowboard/athlete-profile-n1045875-mark-mcmorris.htm,Men's Snowboard Slopestyle,Canada,CAN,Snowboard,SBD
Gold,1,2022-02-07 00:00:00.0,WUST I,WUST Ireen,W,../../../en/results/speed-skating/athlete-profile-n1054343-ireen-wust.htm,Women's 1500m,Netherlands,NED,Speed Skating,SSK
Silver,2,2022-02-07 00:00:00.0,TAKAGI M,TAKAGI Miho,W,../../../en/results/speed-skating/athlete-profile-n1042262-miho-takagi.htm,Women's 1500m,Japan,JPN,Speed Skating,SSK
Bronze,3,2022-02-07 00:00:00.0,de JONG A,de JONG Antoinette,W,../../../en/results/speed-skating/athlete-profile-n1055940-antoinette-de-jong.htm,Women's 1500m,Netherlands,NED,Speed Skating,SSK
Gold,1,2022-02-08 00:00:00.0,MAYER M,MAYER Matthias,M,../../../en/results/alpine-skiing/athlete-profile-n1005388-matthias-mayer.htm,Men's Super-G,Austria,AUT,Alpine Skiing,ALP
Silver,2,2022-02-08 00:00:00.0,COCHRAN-SIEGLE R,COCHRAN-SIEGLE Ryan,M,../../../en/results/alpine-skiing/athlete-profile-n1041237-ryan-cochran-siegle.htm,Men's Super-G,United States of America,USA,Alpine Skiing,ALP
Bronze,3,2022-02-08 00:00:00.0,KILDE AA,KILDE Aleksander Aamodt,M,../../../en/results/alpine-skiing/athlete-profile-n1031307-aleksander-aamodt-kilde.htm,Men's Super-G,Norway,NOR,Alpine Skiing,ALP
Gold,1,2022-02-08 00:00:00.0,FILLON MAILLET Q,FILLON MAILLET Quentin,M,../../../en/results/biathlon/athlete-profile-n1035791-quentin-fillon-maillet.htm,Men's 20km Individual,France,FRA,Biathlon,BTH
Silver,2,2022-02-08 00:00:00.0,SMOLSKI A,SMOLSKI Anton,M,../../../en/results/biathlon/athlete-profile-n1000203-anton-smolski.htm,Men's 20km Individual,Belarus,BLR,Biathlon,BTH
Bronze,3,2022-02-08 00:00:00.0,BOE JT,BOE Johannes Thingnes,M,../../../en/results/biathlon/athlete-profile-n1031965-johannes-thingnes-boe.htm,Men's 20km Individual,Norway,NOR,Biathlon,BTH
Gold,1,2022-02-08 00:00:00.0,KLAEBO JH,KLAEBO Johannes Hoesflot,M,../../../en/results/cross-country-skiing/athlete-profile-n1032194-johannes-hoesflot-klaebo.htm,Men's Sprint Free,Norway,NOR,Cross-Country Skiing,CCS
Silver,2,2022-02-08 00:00:00.0,PELLEGRINO F,PELLEGRINO Federico,M,../../../en/results/cross-country-skiing/athlete-profile-n1037113-federico-pellegrino.htm,Men's Sprint Free,Italy,ITA,Cross-Country Skiing,CCS
Bronze,3,2022-02-08 00:00:00.0,TERENTEV A,TERENTEV Alexander,M,../../../en/results/cross-country-skiing/athlete-profile-n1036642-alexander-terentev.htm,Men's Sprint Free,ROC,ROC,Cross-Country Skiing,CCS
Gold,1,2022-02-08 00:00:00.0,SUNDLING J,SUNDLING Jonna,W,../../../en/results/cross-country-skiing/athlete-profile-n1044362-jonna-sundling.htm,Women's Sprint Free,Sweden,SWE,Cross-Country Skiing,CCS
