name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
ALATALO Santeri,ALATALO S,Male,1990-05-09,TAMPERE,Finland,Switzerland,SUI,Ice Hockey,IHO,LUGANO,Switzerland,1.79/5'10'',../../../en/results/ice-hockey/athlete-profile-n1048258-santeri-alatalo.htm
ALDABERGENOVA Zhanbota,ALDABERGENOVA Z,Female,1995-09-23,SHYMKENT CITY,Kazakhstan,Kazakhstan,KAZ,Freestyle Skiing,FRS,ARE,Kazakhstan,,../../../en/results/freestyle-skiing/athlete-profile-n1048113-zhanbota-aldabergenova.htm
ALDOSHKIN Daniil,ALDOSHKIN D,Male,2001-06-19,KOLOMNA,Russian Federation,ROC,ROC,Speed Skating,SSK,KOLOMNA,Russian Federation,1.88/6'2'',../../../en/results/speed-skating/athlete-profile-n1037986-daniil-aldoshkin.htm
ALESSANDRIA Arnaud,ALESSANDRIA A,Male,1993-07-15,MONTE CARLO,Monaco,Monaco,MON,Alpine Skiing,ALP,SAINT-BON-TARENTAISE,France,,../../../en/results/alpine-skiing/athlete-profile-n1005712-arnaud-alessandria.htm
ALEV Alvar Johannes,ALEV AJ,Male,1993-09-29,JOESUU,Estonia,Estonia,EST,Cross-Country Skiing,CCS,OSLO,Norway,,../../../en/results/cross-country-skiing/athlete-profile-n1035407-alvar-johannes-alev.htm
ALEXANDER Benjamin,ALEXANDER B,Male,1983-05-08,LONDON,Great Britain,Jamaica,JAM,Alpine Skiing,ALP,"JACKSON, WY",United States of America,,../../../en/results/alpine-skiing/athlete-profile-n1064521-benjamin-alexander.htm
ALIC Esma,ALIC E,Female,2002-10-08,SARAJEVO,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Alpine Skiing,ALP,SARAJEVO,Bosnia and Herzegovina,,../../../en/results/alpine-skiing/athlete-profile-n1037238-esma-alic.htm
ALIMBEKAVA Dzinara,ALIMBEKAVA D,Female,1996-01-05,ABAI,Kazakhstan,Belarus,BLR,Biathlon,BTH,CHAUSY,Belarus,,../../../en/results/biathlon/athlete-profile-n1000188-dzinara-alimbekava.htm
ALLEGRE Nils,ALLEGRE N,Male,1994-01-02,BRIANCON,France,France,FRA,Alpine Skiing,ALP,SAINT-CHAFFREY,France,,../../../en/results/alpine-skiing/athlete-profile-n1035753-nils-allegre.htm
ALTHAUS Katharina,ALTHAUS K,Female,1996-05-23,OBERSTDORF,Germany,Germany,GER,Ski Jumping,SJP,OBERSTDORF,Germany,,../../../en/results/ski-jumping/athlete-profile-n1012745-katharina-althaus.htm
AMBROSE Erin,AMBROSE E,Female,1994-04-30,"NEWMARKET, ON",Canada,Canada,CAN,Ice Hockey,IHO,"KESWICK, ON",Canada,1.65/5'4'',../../../en/results/ice-hockey/athlete-profile-n1036290-erin-ambrose.htm
AMBROSINI Filippo,AMBROSINI F,Male,1993-04-26,ASAGIO,Italy,Italy,ITA,Figure Skating,FSK,ASAGIO,Italy,,../../../en/results/figure-skating/athlete-profile-n1035043-filippo-ambrosini.htm
AMBUHL Andres,AMBUHL A,Male,1983-09-14,DAVOS,Switzerland,Switzerland,SUI,Ice Hockey,IHO,DAVOS,Switzerland,1.76/5'9'',../../../en/results/ice-hockey/athlete-profile-n1048261-andres-ambuhl.htm
AMMANN Simon,AMMANN S,Male,1981-06-25,GRABS,Switzerland,Switzerland,SUI,Ski Jumping,SJP,SCHINDELLEGI,Switzerland,,../../../en/results/ski-jumping/athlete-profile-n1048262-simon-ammann.htm
AMRENOVA Ayaulym,AMRENOVA A,Female,2001-11-30,,Kazakhstan,Kazakhstan,KAZ,Freestyle Skiing,FRS,,Kazakhstan,,../../../en/results/freestyle-skiing/athlete-profile-n1057532-ayaulym-amrenova.htm
ANDERSEN Amalie,ANDERSEN A,Female,1999-10-06,HERNING,Denmark,Denmark,DEN,Ice Hockey,IHO,HERNING,Denmark,1.73/5'8'',../../../en/results/ice-hockey/athlete-profile-n1031840-amalie-andersen.htm
ANDERSEN Espen,ANDERSEN E,Male,1993-10-28,BAERUMS,Norway,Norway,NOR,Nordic Combined,NCB,LILLEHAMMER,Norway,1.80/5'10'',../../../en/results/nordic-combined/athlete-profile-n1013778-espen-andersen.htm
ANDERSEN Filip Fjeld,ANDERSEN FF,Male,1999-07-04,NESODDEN,Norway,Norway,NOR,Biathlon,BTH,LILLEHAMMER,Norway,,../../../en/results/biathlon/athlete-profile-n1031967-filip-fjeld-andersen.htm
ANDERSON Jamie,ANDERSON J,Female,1990-09-13,"SOUTH LAKE TAHOE, CA",United States of America,United States of America,USA,Snowboard,SBD,,United States of America,,../../../en/results/snowboard/athlete-profile-n1044725-jamie-anderson.htm
ANDERSONS Toms,ANDERSONS T,Male,1993-11-25,,Latvia,Latvia,LAT,Ice Hockey,IHO,LA CHAUX-DE-FONDS,Switzerland,1.85/6'0'',../../../en/results/ice-hockey/athlete-profile-n1037285-toms-andersons.htm
ANDERSSON Ebba,ANDERSSON E,Female,1997-07-10,DELSBO,Sweden,Sweden,SWE,Cross-Country Skiing,CCS,OSTERSUND,Sweden,,../../../en/results/cross-country-skiing/athlete-profile-n1044312-ebba-andersson.htm
ANDERSSON Linnea,ANDERSSON L,Female,1998-09-30,EKSJOE,Sweden,Sweden,SWE,Ice Hockey,IHO,,,1.71/5'7'',../../../en/results/ice-hockey/athlete-profile-n1041976-linnea-andersson.htm
ANDERSSON Viktor,ANDERSSON V,Male,1992-11-06,LOFSDALEN,Sweden,Sweden,SWE,Freestyle Skiing,FRS,ARE,Sweden,,../../../en/results/freestyle-skiing/athlete-profile-n1045378-viktor-andersson.htm
ANDO Asa,ANDO A,Female,1996-04-24,ASAHIKAWA,Japan,Japan,JPN,Alpine Skiing,ALP,ASAHIKAWA,Japan,,../../../en/results/alpine-skiing/athlete-profile-n1042346-asa-ando.htm
ANDREEV Nikita,ANDREEV N,Male,2004-09-12,SAINT-PETERSBURG,Russian Federation,ROC,ROC,Freestyle Skiing,FRS,SAINT-PETERSBURG,Russian Federation,,../../../en/results/freestyle-skiing/athlete-profile-n1041106-nikita-andreev.htm
ANDREUTTI Giada,ANDREUTTI G,Female,1995-02-16,SAN DANIELE DEL FRIULI,Italy,Italy,ITA,Bobsleigh,BOB,SAN DANIELE DEL FRIULI,Italy,,../../../en/results/bobsleigh/athlete-profile-n1015272-giada-andreutti.htm
ANDRIANOV Maxim,ANDRIANOV M,Male,1988-02-27,KRASNOYARSK,Russian Federation,ROC,ROC,Bobsleigh,BOB,SOCHI,Russian Federation,,../../../en/results/bobsleigh/athlete-profile-n1056064-maxim-andrianov.htm
ANDRIENKO Aleksander,ANDRIENKO A,Male,1990-05-08,,Russian Federation,ROC,ROC,Alpine Skiing,ALP,KALUGA,Russian Federation,,../../../en/results/alpine-skiing/athlete-profile-n1038070-aleksander-andrienko.htm
ANDRIGHETTO Sven,ANDRIGHETTO S,Male,1993-03-21,SUMISWALD,Switzerland,Switzerland,SUI,Ice Hockey,IHO,ZURICH,Switzerland,1.77/5'9'',../../../en/results/ice-hockey/athlete-profile-n1048264-sven-andrighetto.htm
ANDRONOV Sergei,ANDRONOV S,Male,1989-07-19,MOSCOW,USSR,ROC,ROC,Ice Hockey,IHO,MOSCOW,Russian Federation,1.98/6'5'',../../../en/results/ice-hockey/athlete-profile-n1056448-sergei-andronov.htm
ANDRYIANAVA Anastasiya,ANDRYIANAVA A,Female,2004-12-08,,,Belarus,BLR,Freestyle Skiing,FRS,,,,../../../en/results/freestyle-skiing/athlete-profile-n1000074-anastasiya-andryianava.htm
ANGELIS Apostolos,ANGELIS A,Male,1993-06-24,IOANNINA,Greece,Greece,GRE,Cross-Country Skiing,CCS,ANILIO-METSOVOU,Greece,,../../../en/results/cross-country-skiing/athlete-profile-n1042301-apostolos-angelis.htm
ANGELOV Pavel,ANGELOV P,Male,1991-09-17,KRUMOVGRAD,Bulgaria,Bulgaria,BUL,Luge,LUG,SOFIA,Bulgaria,,../../../en/results/luge/athlete-profile-n1035098-pavel-angelov.htm
ANGENEND Yannik,ANGENEND Y,Male,2000-07-13,MUNICH,Germany,Germany,GER,Snowboard,SBD,LENGDORF,Germany,,../../../en/results/snowboard/athlete-profile-n1001650-yannik-angenend.htm
ANTHONY Jakara,ANTHONY J,Female,1998-07-08,"CAIRNS, QLD",Australia,Australia,AUS,Freestyle Skiing,FRS,"BARWON HEADS, VIC",Australia,,../../../en/results/freestyle-skiing/athlete-profile-n1046159-jakara-anthony.htm
ANTONIOU Ioannis,ANTONIOU I,Male,1995-01-27,LAMIA,Greece,Greece,GRE,Alpine Skiing,ALP,KARPENISI,Greece,,../../../en/results/alpine-skiing/athlete-profile-n1044843-ioannis-antoniou.htm
ANTONOV Vladislav,ANTONOV V,Male,1991-09-21,KRASNOYARSK,USSR,ROC,ROC,Luge,LUG,KRASNOYARSK,Russian Federation,,../../../en/results/luge/athlete-profile-n1016381-vladislav-antonov.htm
ANTSYBOR Maryna,ANTSYBOR M,Female,1987-10-10,KONOTOP,Ukraine,Ukraine,UKR,Cross-Country Skiing,CCS,KONOTOP,Ukraine,,../../../en/results/cross-country-skiing/athlete-profile-n1042209-maryna-antsybor.htm
ANTTILA Marko,ANTTILA M,Male,1985-05-27,LEMPAALA,Finland,Finland,FIN,Ice Hockey,IHO,HELSINKI,Finland,2.03/6'7'',../../../en/results/ice-hockey/athlete-profile-n1013000-marko-anttila.htm
AOUICH Yassine,AOUICH Y,Male,1990-11-17,IFRANE,Morocco,Morocco,MAR,Alpine Skiing,ALP,NICE,France,,../../../en/results/alpine-skiing/athlete-profile-n1053526-yassine-aouich.htm
APARJODE Kendija,APARJODE K,Female,1996-12-24,SIGULDA,Latvia,Latvia,LAT,Luge,LUG,SAULKRASTI,Latvia,,../../../en/results/luge/athlete-profile-n1037156-kendija-aparjode.htm
APARJODS Kristers,APARJODS K,Male,1998-02-24,SIGULDA,Latvia,Latvia,LAT,Luge,LUG,SAULKRASTI,Latvia,,../../../en/results/luge/athlete-profile-n1037161-kristers-aparjods.htm
APPIAH Cynthia,APPIAH C,Female,1990-05-15,"NORTH YORK, ON",Canada,Canada,CAN,Bobsleigh,BOB,"TORONTO, ON",Canada,,../../../en/results/bobsleigh/athlete-profile-n1054938-cynthia-appiah.htm
ARAMBURO Emilia,ARAMBURO E,Female,2002-08-13,,,Chile,CHI,Alpine Skiing,ALP,LA PARVA,Chile,,../../../en/results/alpine-skiing/athlete-profile-n1137344-emilia-aramburo.htm
ARBEZ Tess,ARBEZ T,Female,1997-12-01,SAINT-JULIEN-EN-GENEVOIS,France,Ireland,IRL,Alpine Skiing,ALP,VETRAZ-MONTHOUX,Ireland,,../../../en/results/alpine-skiing/athlete-profile-n1015156-tess-arbez.htm
AREFYEV Artem,AREFYEV A,Male,2000-11-09,CHEREPOVETS,Russian Federation,ROC,ROC,Speed Skating,SSK,ST. PETERSBURG,Russian Federation,1.91/6'3'',../../../en/results/speed-skating/athlete-profile-n1037987-artem-arefyev.htm
ARIUNSANAA Enkhtuul,ARIUNSANAA E,Female,1996-01-14,,Mongolia,Mongolia,MGL,Cross-Country Skiing,CCS,,Mongolia,,../../../en/results/cross-country-skiing/athlete-profile-n1051025-enkhtuul-ariunsanaa.htm
ARLT Tobias,ARLT T,Male,1987-06-02,BERCHTESGADEN,Federal Republic of Germany,Germany,GER,Luge,LUG,BERCHTESGADEN,Germany,,../../../en/results/luge/athlete-profile-n1014521-tobias-arlt.htm
ARMAN Sebastiano,ARMAN S,Male,1997-01-17,TRENTO,Italy,Italy,ITA,Curling,CUR,CEMBRA,Italy,,../../../en/results/curling/athlete-profile-n1037081-sebastiano-arman.htm
ARNOUK Cesar,ARNOUK C,Male,2000-11-08,TRIPOLI,Lebanon,LBN,LBN,Alpine Skiing,ALP,"MONTREAL, QC",Canada,,../../../en/results/alpine-skiing/athlete-profile-n1053546-cesar-arnouk.htm
ARONSSON ELFMAN Hanna,ARONSSON ELFMAN H,Female,2002-12-29,KARLSTAD,Sweden,Sweden,SWE,Alpine Skiing,ALP,KARLSTAD,Sweden,,../../../en/results/alpine-skiing/athlete-profile-n1054349-hanna-aronsson-elfman.htm
ARSENKINA Galina,ARSENKINA G,Female,1991-06-06,ZELENOGRAD,Russian Federation,ROC,ROC,Curling,CUR,ZELENOGRAD,Russian Federation,,../../../en/results/curling/athlete-profile-n1036535-galina-arsenkina.htm
ARTHUR Emily,ARTHUR E,Female,1999-04-24,"SYDNEY, NSW",Australia,Australia,AUS,Snowboard,SBD,"SYDNEY, NSW",Australia,,../../../en/results/snowboard/athlete-profile-n1046176-emily-arthur.htm
ARZHANIKOV Ivan,ARZHANIKOV I,Male,1994-06-23,PETROPAVL,Kazakhstan,Kazakhstan,KAZ,Speed Skating,SSK,PETROPAVL,Kazakhstan,1.87/6'1'',../../../en/results/speed-skating/athlete-profile-n1048170-ivan-arzhanikov.htm
ASCIC Valentina,ASCIC V,Female,1998-11-12,LIVNO,Bosnia and Herzegovina,Croatia,CRO,Short Track Speed Skating,STK,ZAGREB,Croatia,,../../../en/results/short-track-speed-skating/athlete-profile-n1037920-valentina-ascic.htm
ASH Gabi,ASH G,Female,1998-11-04,RANDWICK,Australia,Australia,AUS,Freestyle Skiing,FRS,"MELBOURNE, VIC",Australia,,../../../en/results/freestyle-skiing/athlete-profile-n1046066-gabi-ash.htm
ASH Sophie,ASH S,Female,1996-11-07,BRISBANE,Australia,Australia,AUS,Freestyle Skiing,FRS,MELBOURNE,Australia,,../../../en/results/freestyle-skiing/athlete-profile-n1046156-sophie-ash.htm
ASPERUP Josephine,ASPERUP J,Female,1992-07-21,SOEBORG,Denmark,Denmark,DEN,Ice Hockey,IHO,,,1.63/5'4'',../../../en/results/ice-hockey/athlete-profile-n1031842-josephine-asperup.htm
ASPERUP Matthias,ASPERUP M,Male,1995-03-03,SOBORG,Denmark,Denmark,DEN,Ice Hockey,IHO,HERLEV,Denmark,1.82/5'11'',../../../en/results/ice-hockey/athlete-profile-n1032226-matthias-asperup.htm
ASSELIN Olivia,ASSELIN O,Female,2004-02-24,"LEVIS, QC",Canada,Canada,CAN,Freestyle Skiing,FRS,"LAC BEAUPORT, QC",Canada,,../../../en/results/freestyle-skiing/athlete-profile-n1037648-olivia-asselin.htm
ATKIN Zoe,ATKIN Z,Female,2003-01-16,"NEWTON, MA",United States of America,Great Britain,GBR,Freestyle Skiing,FRS,"PARK CITY, UT",United States of America,,../../../en/results/freestyle-skiing/athlete-profile-n1045675-zoe-atkin.htm
AUMOND Flavie,AUMOND F,Female,2002-12-04,"MONTREAL, QC",Canada,Canada,CAN,Freestyle Skiing,FRS,"LAC-BEAUPORT, QC",Canada,,../../../en/results/freestyle-skiing/athlete-profile-n1037641-flavie-aumond.htm
aus den BIRKEN Danny,aus den BIRKEN D,Male,1985-02-15,DUSSELDORF,Federal Republic of Germany,Germany,GER,Ice Hockey,IHO,MUNICH,Germany,1.86/6'1'',../../../en/results/ice-hockey/athlete-profile-n1001159-danny-aus-den-birken.htm
AUSTIN Taylor,AUSTIN T,Male,1990-01-18,"LETHBRIDGE, AB",Canada,Canada,CAN,Bobsleigh,BOB,"CALGARY, AB",Canada,,../../../en/results/bobsleigh/athlete-profile-n1054937-taylor-austin.htm
AUZINA Kitija,AUZINA K,Female,1996-09-23,MADONA,Latvia,Latvia,LAT,Cross-Country Skiing,CCS,MADONA,Latvia,,../../../en/results/cross-country-skiing/athlete-profile-n1038226-kitija-auzina.htm
AVVAKUMOVA Ekaterina,AVVAKUMOVA E,Female,1990-10-26,VELIKIY USTUG,Russian Federation,Republic of Korea,KOR,Biathlon,BTH,ST. PETERSBURG,Russian Federation,,../../../en/results/biathlon/athlete-profile-n1037782-ekaterina-avvakumova.htm
AVVAKUMOVA Irina,AVVAKUMOVA I,Female,1991-09-14,MYSA,Russian Federation,ROC,ROC,Ski Jumping,SJP,MOSCOW,Russian Federation,,../../../en/results/ski-jumping/athlete-profile-n1036689-irina-avvakumova.htm
AYMOZ Kevin,AYMOZ K,Male,1997-08-01,JARRIE,France,France,FRA,Figure Skating,FSK,JARRIE,France,,../../../en/results/figure-skating/athlete-profile-n1035265-kevin-aymoz.htm
AZHGALIYEV Abzal,AZHGALIYEV A,Male,1992-06-30,ORAL,Kazakhstan,Kazakhstan,KAZ,Short Track Speed Skating,STK,ORAL,Kazakhstan,,../../../en/results/short-track-speed-skating/athlete-profile-n1048127-abzal-azhgaliyev.htm
BABA Naoto,BABA N,Male,1996-07-20,,Japan,Japan,JPN,Cross-Country Skiing,CCS,YAMANOUCHI,Japan,,../../../en/results/cross-country-skiing/athlete-profile-n1037007-naoto-baba.htm
BACHER Daniel,BACHER D,Male,2004-12-17,INNSBRUCK,Austria,Austria,AUT,Freestyle Skiing,FRS,,Austria,,../../../en/results/freestyle-skiing/athlete-profile-n1005568-daniel-bacher.htm
BACHSLEITNER Niklas,BACHSLEITNER N,Male,1996-05-03,GARMISCH-PARTENKIRCHEN,Germany,Germany,GER,Freestyle Skiing,FRS,GRAINAU,Germany,,../../../en/results/freestyle-skiing/athlete-profile-n1012712-niklas-bachsleitner.htm
BACKSCHEIDER Adrien,BACKSCHEIDER A,Male,1992-08-07,METZ,France,France,FRA,Cross-Country Skiing,CCS,LES ROUSSES,France,1.78/5'10'',../../../en/results/cross-country-skiing/athlete-profile-n1035803-adrien-backscheider.htm
BADELIHAN Hadesi,BADELIHAN H,Male,1999-01-03,,People's Republic of China,People's Republic of China,CHN,Cross-Country Skiing,CCS,,People's Republic of China,,../../../en/results/cross-country-skiing/athlete-profile-n1058568-hadesi-badelihan.htm
BADRAUN Fabio,BADRAUN F,Male,1987-10-04,,Switzerland,Switzerland,SUI,Bobsleigh,BOB,LUCERNE,Switzerland,,../../../en/results/bobsleigh/athlete-profile-n1048269-fabio-badraun.htm
BAER Alexandra,BAER A,Female,2002-02-17,ZURICH,Switzerland,Switzerland,SUI,Freestyle Skiing,FRS,UITIKON,Switzerland,,../../../en/results/freestyle-skiing/athlete-profile-n1048271-alexandra-baer.htm
BAFF Josie,BAFF J,Female,2003-01-25,"COOMA, NSW",Australia,Australia,AUS,Snowboard,SBD,"JINDABYNE, NSW",Australia,,../../../en/results/snowboard/athlete-profile-n1046170-josie-baff.htm
BAGNIS Amedeo,BAGNIS A,Male,1999-11-11,VERCELLI,Italy,Italy,ITA,Skeleton,SKN,TRICERRO,Italy,,../../../en/results/skeleton/athlete-profile-n1015280-amedeo-bagnis.htm
BAGOZZA Daniele,BAGOZZA D,Male,1995-07-03,BRESSANONE,Italy,Italy,ITA,Snowboard,SBD,ORTISEI,Italy,,../../../en/results/snowboard/athlete-profile-n1015260-daniele-bagozza.htm
BAILET Matthieu,BAILET M,Male,1996-04-23,NICE,France,France,FRA,Alpine Skiing,ALP,NICE,France,,../../../en/results/alpine-skiing/athlete-profile-n1035755-matthieu-bailet.htm
BAIRD Jasmine,BAIRD J,Female,1999-06-29,"GEORGETOWN, ON",Canada,Canada,CAN,Snowboard,SBD,"GEORGETOWN, ON",Canada,,../../../en/results/snowboard/athlete-profile-n1045858-jasmine-baird.htm
BAKER Jean-Luc,BAKER JL,Male,1993-10-07,BURNLEY,Great Britain,United States of America,USA,Figure Skating,FSK,MONTREAL,Canada,,../../../en/results/figure-skating/athlete-profile-n1035182-jean-luc-baker.htm
BAKKEN Sivert Guttorm,BAKKEN SG,Male,1998-07-18,LILLEHAMMER,Norway,Norway,NOR,Biathlon,BTH,LILLEHAMMER,Norway,,../../../en/results/biathlon/athlete-profile-n1031964-sivert-guttorm-bakken.htm
BALINSKIS Uvis Janis,BALINSKIS UJ,Male,1996-08-01,VENTSPILS,Latvia,Latvia,LAT,Ice Hockey,IHO,LITVINOV,Czech Republic,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1056010-uvis-janis-balinskis.htm
BALOGA Matej,BALOGA M,Male,1997-08-08,PRESOV,Slovakia,Slovakia,SVK,Biathlon,BTH,PRESOV,Slovakia,,../../../en/results/biathlon/athlete-profile-n1053041-matej-baloga.htm
BANKES Charlotte,BANKES C,Female,1995-06-10,HEMEL HEMPSTEAD,Great Britain,Great Britain,GBR,Snowboard,SBD,L'ARGENTIERE-LA-BESSEE,France,,../../../en/results/snowboard/athlete-profile-n1045676-charlotte-bankes.htm
BANKES Megan,BANKES M,Female,1997-08-22,"CALGARY, AB",Canada,Canada,CAN,Biathlon,BTH,"CALGARY, AB",Canada,,../../../en/results/biathlon/athlete-profile-n1051494-megan-bankes.htm
BANYS Linas,BANYS L,Male,1998-04-06,ANYKSCIAI,Lithuania,Lithuania,LTU,Biathlon,BTH,ANYKSCIAI,Lithuania,,../../../en/results/biathlon/athlete-profile-n1041089-linas-banys.htm
BARALO Elliott,BARALO E,Male,1998-08-01,ANNECY,France,Sweden,SWE,Freestyle Skiing,FRS,CHINDRIEUX,France,,../../../en/results/freestyle-skiing/athlete-profile-n1045373-elliott-baralo.htm
BARBERIO Mark,BARBERIO M,Male,1990-03-23,"MONTREAL, QC",Canada,Canada,CAN,Ice Hockey,IHO,KAZAN,Russian Federation,1.85/6'0'',../../../en/results/ice-hockey/athlete-profile-n1051796-mark-barberio.htm
BARBEZAT Melanie,BARBEZAT M,Female,1991-08-10,BIEL,Switzerland,Switzerland,SUI,Curling,CUR,BERN,Switzerland,,../../../en/results/curling/athlete-profile-n1048274-melanie-barbezat.htm
