location,event_stage,teamH,scoreTH,teamA,scoreTA,event_status,time,event_url,discipline_code,teamH_code,teamA_code,sex
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 11,Australia,9,Switzerland,6,Finished,2022-02-06T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001102-.htm,CUR,AUS,SUI,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 11,Italy,8,People's Republic of China,4,Finished,2022-02-06T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001103-.htm,CUR,ITA,CHN,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 11,Canada,7,Czech Republic,5,Finished,2022-02-06T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001104-.htm,CUR,CAN,CZE,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 12,Canada,8,Australia,10,Finished,2022-02-06T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001201-.htm,CUR,CAN,AUS,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 12,Italy,12,Sweden,8,Finished,2022-02-06T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001202-.htm,CUR,ITA,SWE,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 12,Switzerland,6,United States of America,5,Finished,2022-02-06T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001203-.htm,CUR,SUI,USA,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 12,Norway,6,Great Britain,2,Finished,2022-02-06T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001204-.htm,CUR,NOR,GBR,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 13,Switzerland,5,Norway,6,Finished,2022-02-07T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001301-.htm,CUR,SUI,NOR,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 13,Canada,7,Italy,8,Finished,2022-02-07T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001302-.htm,CUR,CAN,ITA,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 13,United States of America,4,Great Britain,8,Finished,2022-02-07T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001303-.htm,CUR,USA,GBR,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 13,Czech Republic,8,People's Republic of China,6,Finished,2022-02-07T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001304-.htm,CUR,CZE,CHN,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Semi-final,Norway,6,Great Britain,5,Finished,2022-02-07T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-sfnl-000102-.htm,CUR,NOR,GBR,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Semi-final,Italy,8,Sweden,1,Finished,2022-02-07T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-sfnl-000101-.htm,CUR,ITA,SWE,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Bronze Medal Game,Sweden,9,Great Britain,3,Finished,2022-02-08T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-fnl-000201-.htm,CUR,SWE,GBR,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Gold Medal Game,Italy,8,Norway,5,Finished,2022-02-08T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-fnl-000101-.htm,CUR,ITA,NOR,Mixed
National Aquatics Centre - Sheet A,Men's Round Robin Session 1,Denmark,5,Canada,10,Finished,2022-02-09T20:05:00+08:00,../../../en/results/curling/results-men-prel-000101-.htm,CUR,DEN,CAN,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 1,United States of America,6,ROC,5,Finished,2022-02-09T20:05:00+08:00,../../../en/results/curling/results-men-prel-000102-.htm,CUR,USA,ROC,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 1,Norway,7,Switzerland,4,Finished,2022-02-09T20:05:00+08:00,../../../en/results/curling/results-men-prel-000103-.htm,CUR,NOR,SUI,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 1,People's Republic of China,4,Sweden,6,Finished,2022-02-09T20:05:00+08:00,../../../en/results/curling/results-men-prel-000104-.htm,CUR,CHN,SWE,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 1,Great Britain,5,Switzerland,6,Finished,2022-02-10T09:05:00+08:00,../../../en/results/curling/results-women-prel-000101-.htm,CUR,GBR,SUI,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 1,Denmark,7,People's Republic of China,6,Finished,2022-02-10T09:05:00+08:00,../../../en/results/curling/results-women-prel-000102-.htm,CUR,DEN,CHN,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 1,Sweden,8,Japan,5,Finished,2022-02-10T09:05:00+08:00,../../../en/results/curling/results-women-prel-000103-.htm,CUR,SWE,JPN,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 1,ROC,3,United States of America,9,Finished,2022-02-10T09:05:00+08:00,../../../en/results/curling/results-women-prel-000104-.htm,CUR,ROC,USA,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 2,United States of America,4,Sweden,7,Finished,2022-02-10T14:05:00+08:00,../../../en/results/curling/results-men-prel-000201-.htm,CUR,USA,SWE,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 2,Norway,5,Canada,6,Finished,2022-02-10T14:05:00+08:00,../../../en/results/curling/results-men-prel-000202-.htm,CUR,NOR,CAN,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 2,People's Republic of China,4,ROC,7,Finished,2022-02-10T14:05:00+08:00,../../../en/results/curling/results-men-prel-000203-.htm,CUR,CHN,ROC,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 2,Great Britain,7,Italy,5,Finished,2022-02-10T14:05:00+08:00,../../../en/results/curling/results-men-prel-000204-.htm,CUR,GBR,ITA,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 2,Canada,12,Republic of Korea,7,Finished,2022-02-10T20:05:00+08:00,../../../en/results/curling/results-women-prel-000201-.htm,CUR,CAN,KOR,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 2,Sweden,2,Great Britain,8,Finished,2022-02-10T20:05:00+08:00,../../../en/results/curling/results-women-prel-000202-.htm,CUR,SWE,GBR,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 2,United States of America,7,Denmark,5,Finished,2022-02-10T20:05:00+08:00,../../../en/results/curling/results-women-prel-000203-.htm,CUR,USA,DEN,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 2,People's Republic of China,5,Switzerland,7,Finished,2022-02-10T20:05:00+08:00,../../../en/results/curling/results-women-prel-000204-.htm,CUR,CHN,SUI,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 3,Switzerland,6,ROC,3,Finished,2022-02-11T09:05:00+08:00,../../../en/results/curling/results-men-prel-000301-.htm,CUR,SUI,ROC,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 3,Great Britain,7,United States of America,9,Finished,2022-02-11T09:05:00+08:00,../../../en/results/curling/results-men-prel-000302-.htm,CUR,GBR,USA,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 3,Sweden,9,Italy,3,Finished,2022-02-11T09:05:00+08:00,../../../en/results/curling/results-men-prel-000303-.htm,CUR,SWE,ITA,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 3,Denmark,4,People's Republic of China,5,Finished,2022-02-11T09:05:00+08:00,../../../en/results/curling/results-men-prel-000304-.htm,CUR,DEN,CHN,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 3,United States of America,8,People's Republic of China,4,Finished,2022-02-11T14:05:00+08:00,../../../en/results/curling/results-women-prel-000301-.htm,CUR,USA,CHN,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 3,Canada,5,Japan,8,Finished,2022-02-11T14:05:00+08:00,../../../en/results/curling/results-women-prel-000302-.htm,CUR,CAN,JPN,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 3,Switzerland,8,ROC,7,Finished,2022-02-11T14:05:00+08:00,../../../en/results/curling/results-women-prel-000303-.htm,CUR,SUI,ROC,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 3,Republic of Korea,9,Great Britain,7,Finished,2022-02-11T14:05:00+08:00,../../../en/results/curling/results-women-prel-000304-.htm,CUR,KOR,GBR,Women's
National Aquatics Centre - Sheet B,Men's Round Robin Session 4,ROC,10,Denmark,2,Finished,2022-02-11T20:05:00+08:00,../../../en/results/curling/results-men-prel-000402-.htm,CUR,ROC,DEN,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 4,Great Britain,8,Norway,3,Finished,2022-02-11T20:05:00+08:00,../../../en/results/curling/results-men-prel-000403-.htm,CUR,GBR,NOR,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 4,Canada,3,Switzerland,5,Finished,2022-02-11T20:05:00+08:00,../../../en/results/curling/results-men-prel-000404-.htm,CUR,CAN,SUI,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 4,Sweden,7,Canada,6,Finished,2022-02-12T09:05:00+08:00,../../../en/results/curling/results-women-prel-000401-.htm,CUR,SWE,CAN,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 4,Republic of Korea,9,ROC,5,Finished,2022-02-12T09:05:00+08:00,../../../en/results/curling/results-women-prel-000402-.htm,CUR,KOR,ROC,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 4,Japan,8,Denmark,7,Finished,2022-02-12T09:05:00+08:00,../../../en/results/curling/results-women-prel-000404-.htm,CUR,JPN,DEN,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 5,Italy,9,People's Republic of China,12,Finished,2022-02-12T14:05:00+08:00,../../../en/results/curling/results-men-prel-000501-.htm,CUR,ITA,CHN,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 5,Canada,4,Sweden,7,Finished,2022-02-12T14:05:00+08:00,../../../en/results/curling/results-men-prel-000502-.htm,CUR,CAN,SWE,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 5,Denmark,6,Switzerland,8,Finished,2022-02-12T14:05:00+08:00,../../../en/results/curling/results-men-prel-000503-.htm,CUR,DEN,SUI,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 5,United States of America,6,Norway,7,Finished,2022-02-12T14:05:00+08:00,../../../en/results/curling/results-men-prel-000504-.htm,CUR,USA,NOR,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 5,ROC,5,Japan,10,Finished,2022-02-12T20:05:00+08:00,../../../en/results/curling/results-women-prel-000501-.htm,CUR,ROC,JPN,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 5,Denmark,5,Switzerland,8,Finished,2022-02-12T20:05:00+08:00,../../../en/results/curling/results-women-prel-000502-.htm,CUR,DEN,SUI,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 5,Great Britain,10,United States of America,5,Finished,2022-02-12T20:05:00+08:00,../../../en/results/curling/results-women-prel-000503-.htm,CUR,GBR,USA,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 5,Sweden,6,People's Republic of China,9,Finished,2022-02-12T20:05:00+08:00,../../../en/results/curling/results-women-prel-000504-.htm,CUR,SWE,CHN,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 6,Norway,4,Sweden,6,Finished,2022-02-13T09:05:00+08:00,../../../en/results/curling/results-men-prel-000601-.htm,CUR,NOR,SWE,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 6,People's Republic of China,6,Great Britain,7,Finished,2022-02-13T09:05:00+08:00,../../../en/results/curling/results-men-prel-000602-.htm,CUR,CHN,GBR,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 6,United States of America,5,Canada,10,Finished,2022-02-13T09:05:00+08:00,../../../en/results/curling/results-men-prel-000603-.htm,CUR,USA,CAN,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 6,Italy,7,ROC,10,Finished,2022-02-13T09:05:00+08:00,../../../en/results/curling/results-men-prel-000604-.htm,CUR,ITA,ROC,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 6,Denmark,2,Great Britain,7,Finished,2022-02-13T14:05:00+08:00,../../../en/results/curling/results-women-prel-000601-.htm,CUR,DEN,GBR,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 6,United States of America,4,Sweden,10,Finished,2022-02-13T14:05:00+08:00,../../../en/results/curling/results-women-prel-000602-.htm,CUR,USA,SWE,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 6,Republic of Korea,5,People's Republic of China,6,Finished,2022-02-13T14:05:00+08:00,../../../en/results/curling/results-women-prel-000603-.htm,CUR,KOR,CHN,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 6,Switzerland,8,Canada,4,Finished,2022-02-13T14:05:00+08:00,../../../en/results/curling/results-women-prel-000604-.htm,CUR,SUI,CAN,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 7,Great Britain,8,Denmark,2,Finished,2022-02-13T20:05:00+08:00,../../../en/results/curling/results-men-prel-000701-.htm,CUR,GBR,DEN,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 7,Switzerland,4,Italy,8,Finished,2022-02-13T20:05:00+08:00,../../../en/results/curling/results-men-prel-000702-.htm,CUR,SUI,ITA,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 7,People's Republic of China,6,United States of America,8,Finished,2022-02-13T20:05:00+08:00,../../../en/results/curling/results-men-prel-000704-.htm,CUR,CHN,USA,Men's
National Aquatics Centre - Sheet B,Women's Round Robin Session 7,People's Republic of China,2,Japan,10,Finished,2022-02-14T09:05:00+08:00,../../../en/results/curling/results-women-prel-000702-.htm,CUR,CHN,JPN,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 7,Canada,11,ROC,5,Finished,2022-02-14T09:05:00+08:00,../../../en/results/curling/results-women-prel-000703-.htm,CUR,CAN,ROC,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 7,United States of America,8,Republic of Korea,6,Finished,2022-02-14T09:05:00+08:00,../../../en/results/curling/results-women-prel-000704-.htm,CUR,USA,KOR,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 8,Canada,7,Italy,3,Finished,2022-02-14T14:05:00+08:00,../../../en/results/curling/results-men-prel-000801-.htm,CUR,CAN,ITA,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 8,Denmark,6,Norway,5,Finished,2022-02-14T14:05:00+08:00,../../../en/results/curling/results-men-prel-000802-.htm,CUR,DEN,NOR,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 8,ROC,5,Sweden,7,Finished,2022-02-14T14:05:00+08:00,../../../en/results/curling/results-men-prel-000803-.htm,CUR,ROC,SWE,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 8,Switzerland,5,Great Britain,6,Finished,2022-02-14T14:05:00+08:00,../../../en/results/curling/results-men-prel-000804-.htm,CUR,SUI,GBR,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 8,Switzerland,5,Sweden,6,Finished,2022-02-14T20:05:00+08:00,../../../en/results/curling/results-women-prel-000801-.htm,CUR,SUI,SWE,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 8,Great Britain,3,Canada,7,Finished,2022-02-14T20:05:00+08:00,../../../en/results/curling/results-women-prel-000802-.htm,CUR,GBR,CAN,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 8,Japan,5,Republic of Korea,10,Finished,2022-02-14T20:05:00+08:00,../../../en/results/curling/results-women-prel-000803-.htm,CUR,JPN,KOR,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 8,Denmark,10,ROC,5,Finished,2022-02-14T20:05:00+08:00,../../../en/results/curling/results-women-prel-000804-.htm,CUR,DEN,ROC,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 9,ROC,5,Norway,12,Finished,2022-02-15T09:05:00+08:00,../../../en/results/curling/results-men-prel-000901-.htm,CUR,ROC,NOR,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 9,Canada,10,People's Republic of China,8,Finished,2022-02-15T09:05:00+08:00,../../../en/results/curling/results-men-prel-000902-.htm,CUR,CAN,CHN,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 9,Switzerland,4,United States of America,7,Finished,2022-02-15T09:05:00+08:00,../../../en/results/curling/results-men-prel-000903-.htm,CUR,SUI,USA,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 9,Sweden,8,Denmark,3,Finished,2022-02-15T09:05:00+08:00,../../../en/results/curling/results-men-prel-000904-.htm,CUR,SWE,DEN,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 9,People's Republic of China,5,ROC,11,Finished,2022-02-15T14:05:00+08:00,../../../en/results/curling/results-women-prel-000901-.htm,CUR,CHN,ROC,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 9,Sweden,9,Denmark,3,Finished,2022-02-15T14:05:00+08:00,../../../en/results/curling/results-women-prel-000902-.htm,CUR,SWE,DEN,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 9,United States of America,6,Switzerland,9,Finished,2022-02-15T14:05:00+08:00,../../../en/results/curling/results-women-prel-000903-.htm,CUR,USA,SUI,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 9,Great Britain,10,Japan,4,Finished,2022-02-15T14:05:00+08:00,../../../en/results/curling/results-women-prel-000904-.htm,CUR,GBR,JPN,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 10,Sweden,6,Great Britain,7,Finished,2022-02-15T20:05:00+08:00,../../../en/results/curling/results-men-prel-001001-.htm,CUR,SWE,GBR,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 10,Italy,10,United States of America,4,Finished,2022-02-15T20:05:00+08:00,../../../en/results/curling/results-men-prel-001002-.htm,CUR,ITA,USA,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 10,Norway,6,People's Republic of China,8,Finished,2022-02-15T20:05:00+08:00,../../../en/results/curling/results-men-prel-001003-.htm,CUR,NOR,CHN,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 10,ROC,7,Canada,6,Finished,2022-02-15T20:05:00+08:00,../../../en/results/curling/results-men-prel-001004-.htm,CUR,ROC,CAN,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 10,Canada,7,United States of America,6,Finished,2022-02-16T09:05:00+08:00,../../../en/results/curling/results-women-prel-001001-.htm,CUR,CAN,USA,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 10,Switzerland,8,Republic of Korea,4,Finished,2022-02-16T09:05:00+08:00,../../../en/results/curling/results-women-prel-001002-.htm,CUR,SUI,KOR,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 10,People's Republic of China,8,Great Britain,4,Finished,2022-02-16T09:05:00+08:00,../../../en/results/curling/results-women-prel-001003-.htm,CUR,CHN,GBR,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 11,People's Republic of China,6,Switzerland,5,Finished,2022-02-16T14:05:00+08:00,../../../en/results/curling/results-men-prel-001101-.htm,CUR,CHN,SUI,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 11,Great Britain,8,ROC,6,Finished,2022-02-16T14:05:00+08:00,../../../en/results/curling/results-men-prel-001102-.htm,CUR,GBR,ROC,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 11,Italy,10,Denmark,3,Finished,2022-02-16T14:05:00+08:00,../../../en/results/curling/results-men-prel-001103-.htm,CUR,ITA,DEN,Men's
