No.,Name,Position,G,A,P,PIM,TS,+/-,TOT,SHF,AVG,Sh_Period_1,Time_On_Ice_Period_1,Sh_Period_2,Time_On_Ice_Period_2,Sh_Period_3,Time_On_Ice_Period_3,url_game,team,Sh_OverTime,Time_On_Ice_OverTime
30,ZECHOVSKA KZECHOVSKA Katerina,GK,,,,,,,,,,,,,,,,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,Czech Republic,,
33,ZHOU JZHOU Jiaying,GK,0.0,0.0,0.0,0.0,0.0,,0:00,,0:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
88,CHEN TCHEN Tiya,GK,0.0,0.0,0.0,0.0,0.0,,60:00,,60:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
2,YU BYU Baiwei,D,0.0,0.0,0.0,0.0,1.0,-3.0,20:54,31.0,0:40,0.0,7:07,0.0,7:43,1.0,6:04,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
8,LIN QLIN Qiqi,F,0.0,1.0,1.0,0.0,1.0,0.0,22:38,29.0,0:46,1.0,6:57,0.0,8:20,0.0,7:21,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
34,MI LMI Le,F,1.0,0.0,1.0,0.0,3.0,0.0,22:16,29.0,0:46,1.0,7:21,2.0,8:46,0.0,6:09,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
49,WANG YWANG Yuting,D,0.0,1.0,1.0,0.0,1.0,-1.0,24:24,36.0,0:40,0.0,8:51,1.0,8:30,0.0,7:03,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
91,LIN NLIN Ni,F,0.0,0.0,0.0,0.0,3.0,0.0,22:46,30.0,0:45,2.0,8:00,0.0,8:51,1.0,5:55,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
5,HUANG HHUANG Huier,D,0.0,0.0,0.0,0.0,1.0,-1.0,21:44,24.0,0:54,0.0,7:11,0.0,7:27,1.0,7:06,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
7,ZHANG MZHANG Mengying,F,0.0,0.0,0.0,0.0,0.0,-3.0,13:36,18.0,0:45,0.0,4:18,0.0,4:38,0.0,4:40,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
15,HU BHU Baozhen,F,0.0,0.0,0.0,0.0,1.0,-3.0,17:33,25.0,0:42,0.0,6:27,1.0,5:32,0.0,5:34,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
44,LI BLI Beika,F,0.0,0.0,0.0,0.0,1.0,-3.0,20:04,25.0,0:48,1.0,6:43,0.0,6:41,0.0,6:40,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
93,LIU ZLIU Zhixin,D,0.0,0.0,0.0,0.0,1.0,-1.0,22:38,22.0,1:01,1.0,8:26,0.0,6:55,0.0,7:17,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
17,KANG MKANG Mulan,F,0.0,0.0,0.0,0.0,0.0,0.0,16:55,23.0,0:44,0.0,5:26,0.0,5:17,0.0,6:12,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
19,LIN JLIN Jiaxin,F,0.0,0.0,0.0,0.0,0.0,0.0,14:40,22.0,0:40,0.0,4:32,0.0,4:32,0.0,5:36,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
28,FEI AFEI Anna,D,0.0,0.0,0.0,4.0,0.0,0.0,13:27,17.0,0:47,0.0,3:07,0.0,4:33,0.0,5:47,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
51,ZHANG XZHANG Xifang,F,0.0,0.0,0.0,2.0,1.0,0.0,8:44,12.0,0:43,1.0,6:10,0.0,2:34,0.0,0:00,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
97,ZHAO QZHAO Qinan,D,0.0,0.0,0.0,0.0,0.0,0.0,14:11,14.0,1:00,0.0,3:48,0.0,3:58,0.0,6:25,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
10,HE XHE Xin,F,0.0,0.0,0.0,0.0,0.0,0.0,1:16,2.0,0:38,0.0,0:00,0.0,0:00,0.0,1:16,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
23,FANG XFANG Xin,F,0.0,0.0,0.0,0.0,0.0,0.0,9:21,12.0,0:46,0.0,0:55,0.0,3:05,0.0,5:21,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
26,GUAN YGUAN Yingying,F,0.0,0.0,0.0,0.0,0.0,0.0,2:30,3.0,0:50,0.0,0:57,0.0,0:00,0.0,1:33,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
66,LI QLI Qianhua,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
98,ZHU RZHU Rui,F,0.0,0.0,0.0,0.0,0.0,0.0,2:07,3.0,0:42,0.0,0:47,0.0,0:00,0.0,1:20,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
24,WANG YWANG Yuqing,GK,,,,,,,,,,,,,,,,../../../en/results/ice-hockey/results-women-gpb-000100-.htm,China,,
38,MASCHMEYER EMASCHMEYER Emerance,GK,0.0,0.0,0.0,0.0,0.0,,0:00,,0:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
35,DESBIENS ARDESBIENS Ann-Renee,GK,0.0,0.0,0.0,0.0,0.0,,60:00,,60:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
3,LAROCQUE JLAROCQUE Jocelyne,D,0.0,0.0,0.0,2.0,1.0,1.0,17:40,29.0,0:36,0.0,6:13,0.0,6:32,1.0,4:55,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
14,FAST RFAST Renata,D,0.0,0.0,0.0,2.0,2.0,1.0,18:12,28.0,0:39,0.0,6:38,1.0,7:16,1.0,4:18,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
19,JENNER BJENNER Brianne,F,0.0,0.0,0.0,0.0,5.0,0.0,18:06,24.0,0:45,2.0,6:46,1.0,6:12,2.0,5:08,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
26,CLARK ECLARK Emily,F,0.0,0.0,0.0,0.0,2.0,0.0,15:56,25.0,0:38,0.0,3:25,1.0,7:03,1.0,5:28,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
29,POULIN MPPOULIN Marie-Philip,F,0.0,1.0,1.0,0.0,4.0,0.0,18:25,26.0,0:42,2.0,7:29,1.0,7:02,1.0,3:54,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
10,FILLIER SFILLIER Sarah,F,2.0,1.0,3.0,0.0,10.0,3.0,13:18,22.0,0:36,4.0,4:19,4.0,4:35,2.0,4:24,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
15,DAOUST MDAOUST Melodie,F,0.0,0.0,0.0,0.0,4.0,3.0,6:53,12.0,0:34,4.0,4:26,0.0,2:27,0.0,0:00,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
23,AMBROSE EAMBROSE Erin,D,1.0,1.0,2.0,2.0,1.0,4.0,20:59,37.0,0:34,0.0,7:33,0.0,5:17,1.0,8:09,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
24,SPOONER NSPOONER Natalie,F,2.0,3.0,5.0,0.0,6.0,3.0,13:22,23.0,0:34,3.0,4:59,2.0,3:50,1.0,4:33,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
42,THOMPSON CTHOMPSON Claire,D,1.0,4.0,5.0,0.0,3.0,7.0,17:13,32.0,0:32,1.0,6:45,0.0,4:43,2.0,5:45,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
6,JOHNSTON RJOHNSTON Rebecca,F,1.0,3.0,4.0,0.0,6.0,5.0,13:30,22.0,0:36,2.0,6:36,4.0,3:34,0.0,3:20,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
20,NURSE SNURSE Sarah,F,0.0,2.0,2.0,2.0,2.0,3.0,12:36,24.0,0:31,0.0,4:56,1.0,3:23,1.0,4:17,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
21,BELL ABELL Ashton,D,1.0,1.0,2.0,0.0,2.0,2.0,12:35,21.0,0:35,1.0,2:11,0.0,4:30,1.0,5:54,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
28,ZANDEE-HART MZANDEE-HART Micah,D,0.0,0.0,0.0,4.0,2.0,2.0,16:41,29.0,0:34,1.0,6:02,1.0,4:41,0.0,5:58,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
40,TURNBULL BTURNBULL Blayre,F,2.0,2.0,4.0,2.0,7.0,4.0,13:29,27.0,0:29,3.0,4:42,2.0,3:47,2.0,5:00,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
7,STACEY LSTACEY Laura,F,2.0,0.0,2.0,0.0,5.0,2.0,13:35,19.0,0:42,1.0,4:22,3.0,5:01,1.0,4:12,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
11,SAULNIER JSAULNIER Jill,F,0.0,0.0,0.0,0.0,0.0,3.0,12:15,23.0,0:31,0.0,3:14,0.0,4:04,0.0,4:57,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
17,SHELTON ESHELTON Ella,D,0.0,1.0,1.0,0.0,3.0,4.0,11:36,20.0,0:34,1.0,1:51,1.0,4:22,1.0,5:23,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
27,MALTAIS EMALTAIS Emma,F,0.0,0.0,0.0,0.0,2.0,2.0,10:27,20.0,0:31,0.0,2:41,1.0,3:42,1.0,4:04,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
47,RATTRAY JLRATTRAY Jamie Lee,F,0.0,1.0,1.0,0.0,3.0,1.0,9:05,14.0,0:38,0.0,2:10,1.0,2:36,2.0,4:19,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
50,CAMPBELL KCAMPBELL Kristen,GK,,,,,,,,,,,,,,,,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Canada,,
29,MAURER SMAURER Saskia,GK,0.0,0.0,0.0,0.0,0.0,,0:00,,0:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
20,BRAENDLI ABRAENDLI Andrea,GK,0.0,0.0,0.0,2.0,0.0,,60:00,,60:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
7,STALDER LSTALDER Lara,F,1.0,0.0,1.0,0.0,4.0,-2.0,21:59,33.0,0:39,1.0,6:08,1.0,9:55,2.0,5:56,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
17,CHRISTEN LCHRISTEN Lara,D,0.0,1.0,1.0,0.0,0.0,-1.0,21:17,35.0,0:36,0.0,5:50,0.0,9:46,0.0,5:41,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
22,LEEMANN SLEEMANN Sinja,D,0.0,0.0,0.0,0.0,0.0,-2.0,13:59,23.0,0:36,0.0,4:32,0.0,5:39,0.0,3:48,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
24,RYHNER NRYHNER Noemi,F,0.0,0.0,0.0,0.0,2.0,-1.0,17:04,29.0,0:35,1.0,6:43,1.0,5:21,0.0,5:00,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
25,MULLER AMULLER Alina,F,0.0,0.0,0.0,0.0,3.0,-2.0,21:57,37.0,0:35,0.0,6:43,2.0,8:40,1.0,6:34,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
14,RASELLI ERASELLI Evelina,F,0.0,0.0,0.0,0.0,0.0,-5.0,17:54,28.0,0:38,0.0,5:00,0.0,6:13,0.0,6:41,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
16,VALLARIO NVALLARIO Nicole,D,0.0,0.0,0.0,0.0,1.0,-3.0,14:13,24.0,0:35,0.0,3:41,0.0,4:43,1.0,5:49,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
21,ENZLER RENZLER Rahel,F,0.0,0.0,0.0,0.0,1.0,-5.0,14:48,24.0,0:37,1.0,4:23,0.0,5:06,0.0,5:19,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
23,BULLO NBULLO Nicole,D,0.0,0.0,0.0,0.0,0.0,-4.0,14:36,27.0,0:32,0.0,3:04,0.0,5:53,0.0,5:39,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
26,RUEGG DRUEGG Dominique,F,0.0,0.0,0.0,0.0,1.0,-5.0,13:26,28.0,0:28,0.0,3:25,1.0,4:34,0.0,5:27,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
15,ZIMMERMANN LZIMMERMANN Laura,F,0.0,0.0,0.0,0.0,1.0,-2.0,8:13,15.0,0:32,1.0,2:16,0.0,2:23,0.0,3:34,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
18,WETLI SWETLI Stefanie,D,0.0,0.0,0.0,0.0,0.0,-3.0,12:06,20.0,0:36,0.0,5:05,0.0,2:40,0.0,4:21,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
28,MARTI AMARTI Alina,D,0.0,0.0,0.0,0.0,0.0,-3.0,10:35,20.0,0:31,0.0,4:59,0.0,2:06,0.0,3:30,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
88,STAENZ PSTAENZ Phoebe,F,0.0,0.0,0.0,0.0,1.0,-2.0,19:22,30.0,0:38,0.0,5:29,0.0,7:10,1.0,6:43,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
98,MOY KMOY Keely,F,0.0,0.0,0.0,4.0,1.0,-1.0,20:45,29.0,0:42,0.0,6:13,1.0,8:00,0.0,6:32,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
3,FORSTER SFORSTER Sarah,D,0.0,0.0,0.0,2.0,0.0,-1.0,9:28,16.0,0:35,0.0,5:16,0.0,2:07,0.0,2:05,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
8,QUENNEC KQUENNEC Kaleigh,F,0.0,0.0,0.0,0.0,0.0,-2.0,5:58,8.0,0:44,0.0,2:51,0.0,0:00,0.0,3:07,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
9,SIGRIST SSIGRIST Shannon,D,0.0,0.0,0.0,0.0,0.0,-1.0,14:33,24.0,0:36,0.0,5:41,0.0,2:26,0.0,6:26,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
12,RUEDI LRUEDI Lisa,F,0.0,0.0,0.0,0.0,0.0,-3.0,8:56,12.0,0:44,0.0,3:46,0.0,2:54,0.0,2:16,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
71,LUTZ LMLUTZ Lena Marie,F,0.0,0.0,0.0,0.0,0.0,-2.0,11:19,15.0,0:45,0.0,4:38,0.0,2:33,0.0,4:08,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
39,SPIES CSPIES Caroline,GK,,,,,,,,,,,,,,,,../../../en/results/ice-hockey/results-women-gpa-000100-.htm,Switzerland,,
35,BOMAN IBOMAN Ida,GK,0.0,0.0,0.0,0.0,0.0,,0:00,,0:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
30,SODERBERG ESODERBERG Emma,GK,0.0,0.0,0.0,0.0,0.0,,58:41,,58:41,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
10,WAXIN MWAXIN Mina,D,0.0,0.0,0.0,0.0,0.0,-1.0,21:32,34.0,0:38,0.0,6:08,0.0,6:19,0.0,9:05,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
12,NYLEN-PERSSON MNYLEN-PERSSON Maja,D,1.0,0.0,1.0,0.0,3.0,0.0,22:07,34.0,0:39,0.0,5:22,1.0,7:13,2.0,9:32,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
17,LUNDIN SLUNDIN Sofie,F,0.0,0.0,0.0,2.0,0.0,0.0,21:09,29.0,0:43,0.0,7:11,0.0,6:20,0.0,7:38,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
24,WIKNER-ZIENKIEWICZ FWIKNER-ZIENKIEWICZ Felizia,F,0.0,1.0,1.0,0.0,4.0,0.0,17:04,29.0,0:35,1.0,5:12,2.0,5:43,1.0,6:09,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
28,LOWENHIELM MLOWENHIELM Michelle,F,0.0,0.0,0.0,0.0,5.0,0.0,20:02,27.0,0:44,1.0,6:22,3.0,6:32,1.0,7:08,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
5,FALLMAN JFALLMAN Johanna,D,0.0,0.0,0.0,0.0,1.0,0.0,18:37,28.0,0:39,1.0,6:19,0.0,6:02,0.0,6:16,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
9,ADOLFSSON JADOLFSSON Jessica,D,0.0,0.0,0.0,0.0,0.0,0.0,20:54,31.0,0:40,0.0,7:05,0.0,6:35,0.0,7:14,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
11,BOUVENG JBOUVENG Josefin,F,0.0,0.0,0.0,0.0,3.0,-2.0,18:06,23.0,0:47,1.0,4:41,0.0,4:56,2.0,8:29,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
22,PETERSON LPETERSON Linn,F,0.0,0.0,0.0,0.0,0.0,-1.0,7:02,11.0,0:38,0.0,4:50,0.0,2:12,0.0,0:00,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
27,NORDIN ENORDIN Emma,F,0.0,0.0,0.0,0.0,2.0,-2.0,17:36,25.0,0:42,1.0,4:30,0.0,4:50,1.0,8:16,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
3,KJELLBIN AKJELLBIN Anna,D,0.0,0.0,0.0,0.0,0.0,-1.0,15:12,24.0,0:38,0.0,5:59,0.0,6:32,0.0,2:41,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
8,BERGLUND EBERGLUND Ebba,D,0.0,0.0,0.0,2.0,1.0,-2.0,14:17,24.0,0:35,0.0,6:00,1.0,6:06,0.0,2:11,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
13,MUREN EMUREN Emma,F,0.0,0.0,0.0,0.0,0.0,0.0,12:29,16.0,0:46,0.0,5:44,0.0,5:23,0.0,1:22,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
16,JOHANSSON LJOHANSSON Linnea,F,0.0,0.0,0.0,2.0,2.0,0.0,17:17,22.0,0:47,1.0,5:06,0.0,5:16,1.0,6:55,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
25,LJUNGBLOM LLJUNGBLOM Lina,F,0.0,0.0,0.0,0.0,3.0,0.0,17:35,23.0,0:45,1.0,5:31,0.0,5:04,2.0,7:00,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
4,ANDERSSON LANDERSSON Linnea,D,0.0,0.0,0.0,0.0,0.0,0.0,1:04,1.0,1:04,0.0,0:00,0.0,1:04,0.0,0:00,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
15,JOHANSSON LJOHANSSON Lisa,F,0.0,0.0,0.0,0.0,1.0,-2.0,17:58,23.0,0:46,1.0,4:38,0.0,5:47,0.0,7:33,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
19,HJALMARSSON SHJALMARSSON Sara,F,0.0,0.0,0.0,0.0,0.0,0.0,5:36,7.0,0:48,0.0,3:28,0.0,2:08,0.0,0:00,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
20,BERGSTROM PBERGSTROM Paula,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
29,CARLSSON OCARLSSON Olivia,F,0.0,0.0,0.0,0.0,2.0,0.0,8:36,11.0,0:46,0.0,3:11,0.0,3:03,2.0,2:22,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
1,AKER AAKER Agnes,GK,,,,,,,,,,,,,,,,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Sweden,,
30,KONISHI AKONISHI Akane,GK,0.0,0.0,0.0,0.0,0.0,,0:00,,0:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Japan,,
1,FUJIMOTO NFUJIMOTO Nana,GK,0.0,0.0,0.0,0.0,0.0,,60:00,,60:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Japan,,
3,SHIGA ASHIGA Aoi,D,0.0,1.0,1.0,0.0,1.0,0.0,32:09,38.0,0:50,0.0,9:08,1.0,11:04,0.0,11:57,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Japan,,
4,TOKO ATOKO Ayaka,D,0.0,0.0,0.0,0.0,2.0,0.0,31:46,37.0,0:51,2.0,9:26,0.0,9:43,0.0,12:37,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Japan,,
14,TOKO HTOKO Haruka,F,0.0,0.0,0.0,0.0,6.0,0.0,25:54,34.0,0:45,3.0,6:39,3.0,10:05,0.0,9:10,../../../en/results/ice-hockey/results-women-gpb-000200-.htm,Japan,,
